build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","2","0","0","2026-04-08T23:45:30Z","23688633","220113","84.434544","0.789407"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","4","0","0","2026-04-08T23:45:30Z","38797741","349362","103.105439","0.923949"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","8","0","0","2026-04-08T23:45:30Z","67182574","382659","119.081581","0.677240"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","16","0","0","2026-04-08T23:45:31Z","123219050","335654","129.850820","0.352634"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","32","0","0","2026-04-08T23:45:31Z","436197966","6679118","73.374972","1.125550"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","64","0","0","2026-04-08T23:45:34Z","679744075","23194804","94.238569","3.132735"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","128","0","0","2026-04-08T23:45:38Z","739412916","16066461","173.175898","3.773542"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","256","0","0","2026-04-08T23:45:42Z","1075356725","61913003","238.689217","13.656767"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","512","0","0","2026-04-08T23:45:49Z","1519646224","55443807","337.271390","12.024408"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","1024","0","0","2026-04-08T23:45:58Z","3309829075","228556813","310.610898","22.288333"
