build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"69c28f154","8696","Intel(R) Xeon(R) W-3245 CPU @ 3.20GHz","AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo","Vulkan","/Users/oleksandr/projects/llms/gemma4/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","2","0","0","2026-04-07T23:50:29Z","64854156","135838","30.838532","0.064339"
"69c28f154","8696","Intel(R) Xeon(R) W-3245 CPU @ 3.20GHz","AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo","Vulkan","/Users/oleksandr/projects/llms/gemma4/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","4","0","0","2026-04-07T23:50:30Z","125348634","614887","31.911613","0.156846"
"69c28f154","8696","Intel(R) Xeon(R) W-3245 CPU @ 3.20GHz","AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo","Vulkan","/Users/oleksandr/projects/llms/gemma4/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","8","0","0","2026-04-07T23:50:31Z","164201575","734299","48.721382","0.217358"
"69c28f154","8696","Intel(R) Xeon(R) W-3245 CPU @ 3.20GHz","AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo","Vulkan","/Users/oleksandr/projects/llms/gemma4/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","16","0","0","2026-04-07T23:50:32Z","212739411","1060212","75.210873","0.373547"
"69c28f154","8696","Intel(R) Xeon(R) W-3245 CPU @ 3.20GHz","AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo","Vulkan","/Users/oleksandr/projects/llms/gemma4/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","32","0","0","2026-04-07T23:50:33Z","457040433","7754697","70.031469","1.162700"
"69c28f154","8696","Intel(R) Xeon(R) W-3245 CPU @ 3.20GHz","AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo","Vulkan","/Users/oleksandr/projects/llms/gemma4/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","64","0","0","2026-04-07T23:50:36Z","1814684553","749585","35.267842","0.014523"
"69c28f154","8696","Intel(R) Xeon(R) W-3245 CPU @ 3.20GHz","AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo","Vulkan","/Users/oleksandr/projects/llms/gemma4/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","128","0","0","2026-04-07T23:50:47Z","2004383240","988721","63.860055","0.031502"
"69c28f154","8696","Intel(R) Xeon(R) W-3245 CPU @ 3.20GHz","AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo","Vulkan","/Users/oleksandr/projects/llms/gemma4/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","256","0","0","2026-04-07T23:50:59Z","2611776260","4473001","98.017814","0.167911"
"69c28f154","8696","Intel(R) Xeon(R) W-3245 CPU @ 3.20GHz","AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo","Vulkan","/Users/oleksandr/projects/llms/gemma4/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-04-07T23:51:14Z","3897247217","2964735","131.374842","0.099836"
"69c28f154","8696","Intel(R) Xeon(R) W-3245 CPU @ 3.20GHz","AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo, AMD Radeon Pro Vega II Duo","Vulkan","/Users/oleksandr/projects/llms/gemma4/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","1024","0","0","2026-04-07T23:51:38Z","7956280218","44386577","128.706568","0.718689"
