build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","16","0","2026-04-10T03:57:30Z","235067592","1084744","68.066683","0.312674"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","256","0","2026-04-10T03:57:31Z","3733299791","66242914","68.589214","1.209540"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","1024","0","2026-04-10T03:57:50Z","15338873199","84934560","66.760129","0.370091"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q3_K_XL.gguf","gemma4 E2B Q3_K - Medium","2899249292","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","16","0","2026-04-10T03:59:08Z","238331433","1000381","67.134348","0.281591"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q3_K_XL.gguf","gemma4 E2B Q3_K - Medium","2899249292","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","256","0","2026-04-10T03:59:09Z","3765246158","39701663","67.996244","0.711471"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q3_K_XL.gguf","gemma4 E2B Q3_K - Medium","2899249292","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","1024","0","2026-04-10T03:59:28Z","15674248575","98657160","65.332155","0.410937"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q4_K_XL.gguf","gemma4 E2B Q4_K - Medium","3158225036","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","16","0","2026-04-10T04:00:49Z","230753600","3100991","69.348054","0.932479"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q4_K_XL.gguf","gemma4 E2B Q4_K - Medium","3158225036","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","256","0","2026-04-10T04:00:50Z","3628486475","35921607","70.558323","0.693260"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q4_K_XL.gguf","gemma4 E2B Q4_K - Medium","3158225036","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","1024","0","2026-04-10T04:01:08Z","14971030291","177444286","68.406355","0.800394"
"e34f04215","8740","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q5_K_XL.gguf","gemma4 E2B Q5_K - Medium","4276181132","4647450147","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","16","0","2026-04-10T04:02:25Z","242370100","1869394","66.017892","0.510192"
