build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","2","0","2026-04-09T04:28:50Z","16962124","370901","117.953739","2.514748"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","4","0","2026-04-09T04:28:50Z","33652366","116388","118.863505","0.411469"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","8","0","2026-04-09T04:28:51Z","67258641","137536","118.944219","0.242906"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","16","0","2026-04-09T04:28:51Z","134531425","523499","118.932759","0.462114"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","32","0","2026-04-09T04:28:52Z","268629041","494448","119.123704","0.218576"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","64","0","2026-04-09T04:28:53Z","536672241","1737658","119.254419","0.386075"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","128","0","2026-04-09T04:28:56Z","1075678116","2340201","118.995155","0.258926"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","256","0","2026-04-09T04:29:01Z","2143846283","5959374","119.412286","0.332415"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","512","0","2026-04-09T04:29:12Z","4403431033","5273784","116.273102","0.139179"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q2_K_XL.gguf","gemma4 E2B Q2_K - Medium","2384089228","4647450147","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","1024","0","2026-04-09T04:29:34Z","8976406475","5219225","114.076861","0.066324"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q3_K_XL.gguf","gemma4 E2B Q3_K - Medium","2899249292","4647450147","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","2","0","2026-04-09T04:30:19Z","16515591","191383","121.110535","1.386026"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q3_K_XL.gguf","gemma4 E2B Q3_K - Medium","2899249292","4647450147","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","4","0","2026-04-09T04:30:19Z","33173924","98478","120.577475","0.357816"
"c08d28d08","8667","Accelerate, Apple M2 Ultra","Apple M2 Ultra","MTL,BLAS","/Users/oleksandr/projects/llms/gemma4-2b/gemma-4-E2B-it-UD-Q3_K_XL.gguf","gemma4 E2B Q3_K - Medium","2899249292","4647450147","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","8","0","2026-04-09T04:30:20Z","66262900","198004","120.732073","0.361598"
