prompt,target,n_prompt,window_start,window_end,kl_target,top1_target,kl_handoff,top1_handoff
01_python_small,ud-q2_k_xl,337,0,64,0.014975,98.4,0.011518,98.4
01_python_small,ud-q2_k_xl,337,64,128,0.025177,98.4,0.022536,98.4
01_python_small,ud-q2_k_xl,337,128,192,0.074523,93.8,0.033503,98.4
01_python_small,ud-q2_k_xl,337,192,256,0.045151,95.3,0.033598,95.3
01_python_small,ud-q2_k_xl,337,256,320,0.007981,98.4,0.005067,98.4
01_python_small,ud-q2_k_xl,337,320,384,0.030275,95.3,0.017627,100.0
01_python_small,ud-q2_k_xl,337,384,448,0.007831,96.9,0.005307,98.4
01_python_small,ud-q2_k_xl,337,448,512,0.039960,92.2,0.033390,93.8
01_python_small,ud-q2_k_xl,337,512,576,0.048587,90.6,0.041564,95.3
01_python_small,ud-q2_k_xl,337,576,640,0.032545,93.8,0.033364,98.4
01_python_small,ud-q2_k_xl,337,640,704,0.049194,93.8,0.043451,90.6
01_python_small,ud-q2_k_xl,337,704,768,0.009399,100.0,0.003433,100.0
01_python_small,ud-q2_k_xl,337,768,832,0.000428,100.0,0.000655,100.0
01_python_small,ud-q2_k_xl,337,832,896,0.000121,100.0,0.000094,100.0
01_python_small,ud-q2_k_xl,337,896,960,0.024309,93.8,0.019122,92.2
01_python_small,ud-q2_k_xl,337,960,1024,0.053671,95.3,0.053127,95.3
01_python_small,ud-q2_k_xl,337,1024,1088,0.056932,95.3,0.067611,93.8
01_python_small,ud-q2_k_xl,337,1088,1152,0.022325,98.4,0.019566,100.0
01_python_small,ud-q2_k_xl,337,1152,1216,0.033709,96.9,0.028088,96.9
01_python_small,ud-q2_k_xl,337,1216,1280,0.066218,84.4,0.047829,87.5
01_python_small,ud-q2_k_xl,337,1280,1344,0.007457,100.0,0.005664,100.0
01_python_small,ud-q2_k_xl,337,1344,1408,0.001197,98.4,0.000823,98.4
01_python_small,ud-q2_k_xl,337,1408,1472,0.036412,96.9,0.035514,95.3
01_python_small,ud-q2_k_xl,337,1472,1536,0.025044,95.3,0.029577,96.9
01_python_small,ud-q2_k_xl,337,1536,1600,0.083297,93.8,0.079061,93.8
01_python_small,ud-q2_k_xl,337,1600,1664,0.054163,96.9,0.037869,96.9
01_python_small,ud-q2_k_xl,337,1664,1728,0.025210,98.4,0.024964,98.4
01_python_small,ud-q2_k_xl,337,1728,1792,0.054209,96.9,0.053250,96.9
01_python_small,ud-q2_k_xl,337,1792,1856,0.101384,93.8,0.093226,93.8
01_python_small,ud-q2_k_xl,337,1856,1920,0.022950,98.4,0.031116,98.4
01_python_small,ud-q2_k_xl,337,1920,1984,0.003016,100.0,0.003182,100.0
01_python_small,ud-q2_k_xl,337,1984,2048,0.040086,95.3,0.044012,93.8
02_rust_small,ud-q2_k_xl,540,0,64,0.054237,89.1,0.047680,93.8
02_rust_small,ud-q2_k_xl,540,64,128,0.012852,96.9,0.014313,96.9
02_rust_small,ud-q2_k_xl,540,128,192,0.024338,95.3,0.022306,96.9
02_rust_small,ud-q2_k_xl,540,192,256,0.024854,93.8,0.014098,93.8
02_rust_small,ud-q2_k_xl,540,256,320,0.035369,93.8,0.027957,95.3
02_rust_small,ud-q2_k_xl,540,320,384,0.007780,100.0,0.004605,100.0
02_rust_small,ud-q2_k_xl,540,384,448,0.007553,100.0,0.008416,100.0
02_rust_small,ud-q2_k_xl,540,448,512,0.006280,98.4,0.007407,98.4
02_rust_small,ud-q2_k_xl,540,512,576,0.030998,95.3,0.026285,95.3
02_rust_small,ud-q2_k_xl,540,576,640,0.038452,96.9,0.021460,100.0
02_rust_small,ud-q2_k_xl,540,640,704,0.046336,92.2,0.023649,96.9
02_rust_small,ud-q2_k_xl,540,704,768,0.055777,93.8,0.049720,92.2
02_rust_small,ud-q2_k_xl,540,768,832,0.034040,93.8,0.029539,93.8
02_rust_small,ud-q2_k_xl,540,832,896,0.037888,92.2,0.038277,92.2
02_rust_small,ud-q2_k_xl,540,896,960,0.043503,98.4,0.039680,98.4
02_rust_small,ud-q2_k_xl,540,960,1024,0.045232,95.3,0.037016,95.3
02_rust_small,ud-q2_k_xl,540,1024,1088,0.073634,90.6,0.063043,89.1
02_rust_small,ud-q2_k_xl,540,1088,1152,0.094313,93.8,0.068938,93.8
02_rust_small,ud-q2_k_xl,540,1152,1216,0.092788,89.1,0.067735,89.1
02_rust_small,ud-q2_k_xl,540,1216,1280,0.051152,96.9,0.038829,96.9
02_rust_small,ud-q2_k_xl,540,1280,1344,0.072876,90.6,0.073010,90.6
02_rust_small,ud-q2_k_xl,540,1344,1408,0.029706,93.8,0.027944,93.8
02_rust_small,ud-q2_k_xl,540,1408,1472,0.011021,100.0,0.008728,100.0
02_rust_small,ud-q2_k_xl,540,1472,1536,0.030938,93.8,0.030146,96.9
02_rust_small,ud-q2_k_xl,540,1536,1600,0.066219,93.8,0.049647,95.3
02_rust_small,ud-q2_k_xl,540,1600,1664,0.032544,95.3,0.031168,93.8
