prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
01_python_small,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,337,2048,0.034304,0.168664,0.486478,96.1,0.029960,0.129390,0.468368,96.7
02_rust_small,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,540,2048,0.047587,0.212775,0.809872,94.8,0.038875,0.182128,0.672229,95.5
03_go_small,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,396,2048,0.044757,0.225512,0.786041,95.0,0.040516,0.212283,0.677919,95.5
04_cpp_small,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,823,2026,0.047534,0.249111,0.820888,95.2,0.042067,0.219198,0.720287,95.3
05_js_small,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,555,2048,0.060173,0.294835,0.703587,93.7,0.051472,0.267590,0.597933,94.0
06_python2_small,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,582,1767,0.040079,0.200196,0.577135,95.4,0.034339,0.159282,0.481145,96.0
07_c_small,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,751,2048,0.050144,0.253849,0.673352,95.6,0.040557,0.193485,0.613949,95.8
08_java_small,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,840,1552,0.050336,0.266407,0.808943,94.7,0.044413,0.217516,0.767031,95.3
09_python_medium,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,2474,2048,0.050414,0.240129,0.679687,93.8,0.045278,0.218101,0.640441,94.2
10_go_medium,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,2135,2048,0.051400,0.243809,0.667437,93.7,0.042717,0.232475,0.492857,94.1
11_typescript_medium,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,2435,2048,0.074567,0.345451,0.997603,91.3,0.060372,0.263331,0.780288,92.8
12_rust_medium,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,2183,2048,0.053629,0.263509,0.818374,93.9,0.042135,0.211359,0.530030,94.8
13_python_large,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,8959,2048,0.057884,0.282175,0.822185,92.7,0.050243,0.233138,0.834250,92.9
14_go_large,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,8840,2048,0.058710,0.306451,0.660719,93.0,0.047301,0.228189,0.611590,93.4
15_cpp_medium,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,3958,2048,0.069439,0.313344,0.927290,92.0,0.049781,0.211393,0.695708,93.1
16_java_medium,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,2400,2048,0.042100,0.206063,0.541024,94.6,0.033077,0.168081,0.420395,94.8
17_rust_large,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,9803,2048,0.068561,0.315959,0.938018,91.9,0.048869,0.243066,0.540604,93.6
18_typescript_large,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,10613,2048,0.052610,0.236500,0.771056,93.8,0.042745,0.193676,0.625271,94.0
19_cpp_large,gemma4-26b-a4b-bf16,ud-q2_k_xl,50505130944,10545958656,10737,2048,0.066529,0.294582,0.810935,91.7,0.047329,0.212784,0.568909,93.9
01_python_small,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,337,2048,0.016395,0.070074,0.246436,97.4,0.014787,0.059932,0.253064,97.6
02_rust_small,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,540,2048,0.016484,0.074872,0.295074,96.4,0.014052,0.060973,0.227562,96.6
03_go_small,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,396,2048,0.018420,0.092722,0.329946,96.0,0.017584,0.086576,0.291675,96.1
04_cpp_small,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,823,2026,0.016621,0.078279,0.240719,97.3,0.014506,0.066895,0.251949,97.5
05_js_small,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,555,2048,0.026565,0.124452,0.396890,95.8,0.022241,0.097179,0.312827,96.3
06_python2_small,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,582,1767,0.014271,0.067040,0.241036,97.4,0.011481,0.059579,0.204448,97.6
07_c_small,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,751,2048,0.020854,0.094212,0.321730,96.8,0.016911,0.081551,0.240580,97.0
08_java_small,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,840,1552,0.019917,0.089997,0.342482,97.6,0.017709,0.079973,0.300916,97.5
09_python_medium,gemma4-26b-a4b-bf16,ud-q3_k_xl,50505130944,12930296832,2474,2048,0.024357,0.109062,0.316683,95.7,0.020150,0.087023,0.276014,96.6
