prompt,target,n_prompt,window_start,window_end,kl_target,top1_target,kl_handoff,top1_handoff
01_python_small,ud-q2_k_xl,337,0,64,0.007667,100.0,0.007971,98.4
01_python_small,ud-q2_k_xl,337,64,128,0.025867,96.9,0.018897,98.4
01_python_small,ud-q2_k_xl,337,128,192,0.015446,96.9,0.014852,96.9
01_python_small,ud-q2_k_xl,337,192,256,0.031037,95.3,0.019943,98.4
01_python_small,ud-q2_k_xl,337,256,320,0.020547,96.9,0.023959,95.3
01_python_small,ud-q2_k_xl,337,320,384,0.021028,100.0,0.016913,98.4
01_python_small,ud-q2_k_xl,337,384,448,0.019620,98.4,0.015301,98.4
01_python_small,ud-q2_k_xl,337,448,512,0.041647,89.1,0.036746,92.2
01_python_small,ud-q2_k_xl,337,512,576,0.018038,98.4,0.018566,96.9
01_python_small,ud-q2_k_xl,337,576,640,0.015220,96.9,0.018248,95.3
01_python_small,ud-q2_k_xl,337,640,704,0.057843,90.6,0.054044,89.1
01_python_small,ud-q2_k_xl,337,704,768,0.049431,95.3,0.047966,93.8
01_python_small,ud-q2_k_xl,337,768,832,0.025309,98.4,0.017856,98.4
01_python_small,ud-q2_k_xl,337,832,896,0.024666,98.4,0.021515,96.9
01_python_small,ud-q2_k_xl,337,896,960,0.010034,100.0,0.006525,100.0
01_python_small,ud-q2_k_xl,337,960,1024,0.028063,90.6,0.029654,89.1
01_python_small,ud-q2_k_xl,337,1024,1088,0.051769,90.6,0.050090,90.6
01_python_small,ud-q2_k_xl,337,1088,1152,0.062293,96.9,0.044942,96.9
01_python_small,ud-q2_k_xl,337,1152,1216,0.052652,92.2,0.053821,92.2
01_python_small,ud-q2_k_xl,337,1216,1280,0.051992,95.3,0.045282,93.8
01_python_small,ud-q2_k_xl,337,1280,1344,0.014298,98.4,0.012701,98.4
01_python_small,ud-q2_k_xl,337,1344,1408,0.078057,90.6,0.081352,89.1
01_python_small,ud-q2_k_xl,337,1408,1472,0.039236,93.8,0.038167,95.3
01_python_small,ud-q2_k_xl,337,1472,1536,0.046110,96.9,0.037265,96.9
01_python_small,ud-q2_k_xl,337,1536,1600,0.018973,96.9,0.018524,96.9
01_python_small,ud-q2_k_xl,337,1600,1664,0.037505,92.2,0.038654,93.8
01_python_small,ud-q2_k_xl,337,1664,1728,0.034231,92.2,0.028290,93.8
01_python_small,ud-q2_k_xl,337,1728,1792,0.022494,98.4,0.023189,96.9
01_python_small,ud-q2_k_xl,337,1792,1856,0.068401,84.4,0.060404,84.4
01_python_small,ud-q2_k_xl,337,1856,1920,0.038062,93.8,0.035642,95.3
01_python_small,ud-q2_k_xl,337,1920,1984,0.054835,93.8,0.055272,95.3
01_python_small,ud-q2_k_xl,337,1984,2048,0.047324,95.3,0.047915,96.9
02_rust_small,ud-q2_k_xl,540,0,64,0.037399,98.4,0.035884,95.3
02_rust_small,ud-q2_k_xl,540,64,128,0.027711,95.3,0.024095,96.9
02_rust_small,ud-q2_k_xl,540,128,192,0.013754,100.0,0.012542,100.0
02_rust_small,ud-q2_k_xl,540,192,256,0.023298,93.8,0.013170,93.8
02_rust_small,ud-q2_k_xl,540,256,320,0.022217,100.0,0.017066,98.4
02_rust_small,ud-q2_k_xl,540,320,384,0.017642,98.4,0.013981,98.4
02_rust_small,ud-q2_k_xl,540,384,448,0.017363,98.4,0.008466,100.0
02_rust_small,ud-q2_k_xl,540,448,512,0.003596,100.0,0.002135,100.0
02_rust_small,ud-q2_k_xl,540,512,576,0.033076,92.2,0.017397,93.8
02_rust_small,ud-q2_k_xl,540,576,640,0.020450,96.9,0.010456,98.4
02_rust_small,ud-q2_k_xl,540,640,704,0.012667,96.9,0.010822,96.9
02_rust_small,ud-q2_k_xl,540,704,768,0.029797,89.1,0.019236,90.6
02_rust_small,ud-q2_k_xl,540,768,832,0.041370,92.2,0.028252,93.8
02_rust_small,ud-q2_k_xl,540,832,896,0.031327,93.8,0.027823,96.9
02_rust_small,ud-q2_k_xl,540,896,960,0.033251,89.1,0.021689,89.1
02_rust_small,ud-q2_k_xl,540,960,1024,0.024635,98.4,0.020505,98.4
02_rust_small,ud-q2_k_xl,540,1024,1088,0.034047,95.3,0.033663,93.8
02_rust_small,ud-q2_k_xl,540,1088,1152,0.047610,93.8,0.056246,92.2
02_rust_small,ud-q2_k_xl,540,1152,1216,0.046035,92.2,0.051734,93.8
02_rust_small,ud-q2_k_xl,540,1216,1280,0.020997,98.4,0.014570,98.4
02_rust_small,ud-q2_k_xl,540,1280,1344,0.037263,95.3,0.040318,95.3
02_rust_small,ud-q2_k_xl,540,1344,1408,0.022743,93.8,0.020394,95.3
02_rust_small,ud-q2_k_xl,540,1408,1472,0.021077,98.4,0.021287,98.4
02_rust_small,ud-q2_k_xl,540,1472,1536,0.015484,98.4,0.021878,98.4
02_rust_small,ud-q2_k_xl,540,1536,1600,0.085719,95.3,0.061785,95.3
02_rust_small,ud-q2_k_xl,540,1600,1664,0.112412,93.8,0.109655,93.8
02_rust_small,ud-q2_k_xl,540,1664,1728,0.020263,95.3,0.016128,96.9
02_rust_small,ud-q2_k_xl,540,1728,1792,0.062994,96.9,0.072188,96.9
02_rust_small,ud-q2_k_xl,540,1792,1856,0.037777,96.9,0.022061,98.4
02_rust_small,ud-q2_k_xl,540,1856,1920,0.104799,92.2,0.063223,92.2
02_rust_small,ud-q2_k_xl,540,1920,1984,0.067607,95.3,0.076895,93.8
02_rust_small,ud-q2_k_xl,540,1984,2048,0.077296,95.3,0.012428,96.9
03_go_small,ud-q2_k_xl,396,0,64,0.053108,95.3,0.032511,95.3
03_go_small,ud-q2_k_xl,396,64,128,0.020302,95.3,0.019770,95.3
03_go_small,ud-q2_k_xl,396,128,192,0.018204,98.4,0.015946,98.4
03_go_small,ud-q2_k_xl,396,192,256,0.029677,93.8,0.024949,96.9
03_go_small,ud-q2_k_xl,396,256,320,0.019290,98.4,0.013809,98.4
03_go_small,ud-q2_k_xl,396,320,384,0.014978,100.0,0.012316,98.4
03_go_small,ud-q2_k_xl,396,384,448,0.048227,93.8,0.041257,93.8
03_go_small,ud-q2_k_xl,396,448,512,0.022241,96.9,0.018068,96.9
03_go_small,ud-q2_k_xl,396,512,576,0.030911,93.8,0.026627,93.8
03_go_small,ud-q2_k_xl,396,576,640,0.026704,100.0,0.014386,98.4
03_go_small,ud-q2_k_xl,396,640,704,0.058154,87.5,0.038783,90.6
03_go_small,ud-q2_k_xl,396,704,768,0.046912,95.3,0.046601,95.3
03_go_small,ud-q2_k_xl,396,768,832,0.014630,96.9,0.015044,96.9
03_go_small,ud-q2_k_xl,396,832,896,0.061446,93.8,0.053469,93.8
03_go_small,ud-q2_k_xl,396,896,960,0.104581,92.2,0.102695,93.8
03_go_small,ud-q2_k_xl,396,960,1024,0.019345,98.4,0.015269,98.4
03_go_small,ud-q2_k_xl,396,1024,1088,0.010433,100.0,0.010919,98.4
03_go_small,ud-q2_k_xl,396,1088,1152,0.108096,95.3,0.095024,95.3
03_go_small,ud-q2_k_xl,396,1152,1216,0.028557,96.9,0.045360,95.3
03_go_small,ud-q2_k_xl,396,1216,1280,0.038912,96.9,0.032015,96.9
03_go_small,ud-q2_k_xl,396,1280,1344,0.035846,98.4,0.037177,98.4
03_go_small,ud-q2_k_xl,396,1344,1408,0.022598,96.9,0.019498,98.4
03_go_small,ud-q2_k_xl,396,1408,1472,0.011384,100.0,0.008235,100.0
03_go_small,ud-q2_k_xl,396,1472,1536,0.034402,100.0,0.033680,98.4
03_go_small,ud-q2_k_xl,396,1536,1600,0.080995,96.9,0.071669,96.9
03_go_small,ud-q2_k_xl,396,1600,1664,0.029694,95.3,0.033854,95.3
03_go_small,ud-q2_k_xl,396,1664,1728,0.034421,98.4,0.030285,98.4
03_go_small,ud-q2_k_xl,396,1728,1779,0.023116,100.0,0.019621,100.0
04_cpp_small,ud-q2_k_xl,823,0,64,0.023216,95.3,0.020844,96.9
04_cpp_small,ud-q2_k_xl,823,64,128,0.047930,90.6,0.033010,92.2
04_cpp_small,ud-q2_k_xl,823,128,192,0.027199,87.5,0.027666,92.2
04_cpp_small,ud-q2_k_xl,823,192,256,0.019316,96.9,0.011696,98.4
04_cpp_small,ud-q2_k_xl,823,256,320,0.032836,95.3,0.018708,95.3
04_cpp_small,ud-q2_k_xl,823,320,384,0.024065,100.0,0.022396,98.4
04_cpp_small,ud-q2_k_xl,823,384,448,0.028046,93.8,0.017963,95.3
04_cpp_small,ud-q2_k_xl,823,448,512,0.033023,96.9,0.025550,98.4
04_cpp_small,ud-q2_k_xl,823,512,576,0.013689,96.9,0.011083,96.9
04_cpp_small,ud-q2_k_xl,823,576,640,0.025050,95.3,0.021426,96.9
04_cpp_small,ud-q2_k_xl,823,640,704,0.012004,100.0,0.010477,100.0
04_cpp_small,ud-q2_k_xl,823,704,768,0.014820,98.4,0.011340,98.4
04_cpp_small,ud-q2_k_xl,823,768,832,0.042579,92.2,0.035009,92.2
04_cpp_small,ud-q2_k_xl,823,832,896,0.014687,95.3,0.011545,96.9
04_cpp_small,ud-q2_k_xl,823,896,960,0.048806,96.9,0.050582,96.9
04_cpp_small,ud-q2_k_xl,823,960,1024,0.059705,95.3,0.051307,96.9
04_cpp_small,ud-q2_k_xl,823,1024,1088,0.009449,98.4,0.009913,98.4
04_cpp_small,ud-q2_k_xl,823,1088,1152,0.027066,96.9,0.026937,95.3
04_cpp_small,ud-q2_k_xl,823,1152,1216,0.030518,93.8,0.021623,95.3
04_cpp_small,ud-q2_k_xl,823,1216,1280,0.155813,92.2,0.119013,92.2
04_cpp_small,ud-q2_k_xl,823,1280,1344,0.065773,96.9,0.057477,96.9
04_cpp_small,ud-q2_k_xl,823,1344,1408,0.058541,96.9,0.057477,96.9
04_cpp_small,ud-q2_k_xl,823,1408,1472,0.135957,93.8,0.120374,93.8
04_cpp_small,ud-q2_k_xl,823,1472,1536,0.071642,93.8,0.069164,93.8
04_cpp_small,ud-q2_k_xl,823,1536,1600,0.075011,92.2,0.062789,93.8
04_cpp_small,ud-q2_k_xl,823,1600,1664,0.051770,96.9,0.043623,95.3
04_cpp_small,ud-q2_k_xl,823,1664,1728,0.091894,95.3,0.085718,95.3
04_cpp_small,ud-q2_k_xl,823,1728,1792,0.049742,96.9,0.043338,95.3
04_cpp_small,ud-q2_k_xl,823,1792,1856,0.029385,98.4,0.032568,98.4
04_cpp_small,ud-q2_k_xl,823,1856,1920,0.029283,98.4,0.029292,98.4
04_cpp_small,ud-q2_k_xl,823,1920,1984,0.049549,100.0,0.061365,96.9
04_cpp_small,ud-q2_k_xl,823,1984,2048,0.058009,96.9,0.059291,96.9
05_js_small,ud-q2_k_xl,555,0,64,0.023521,98.4,0.016675,98.4
05_js_small,ud-q2_k_xl,555,64,128,0.016383,100.0,0.012514,98.4
05_js_small,ud-q2_k_xl,555,128,192,0.021433,96.9,0.014823,95.3
05_js_small,ud-q2_k_xl,555,192,256,0.033852,93.8,0.034669,93.8
05_js_small,ud-q2_k_xl,555,256,320,0.077436,95.3,0.044588,93.8
05_js_small,ud-q2_k_xl,555,320,384,0.061413,93.8,0.044435,95.3
05_js_small,ud-q2_k_xl,555,384,448,0.098764,90.6,0.069007,95.3
05_js_small,ud-q2_k_xl,555,448,512,0.054150,90.6,0.037269,89.1
05_js_small,ud-q2_k_xl,555,512,576,0.072943,90.6,0.062730,92.2
05_js_small,ud-q2_k_xl,555,576,640,0.048865,95.3,0.044668,93.8
05_js_small,ud-q2_k_xl,555,640,704,0.079247,89.1,0.056675,90.6
05_js_small,ud-q2_k_xl,555,704,768,0.088070,81.2,0.086457,81.2
05_js_small,ud-q2_k_xl,555,768,832,0.075257,93.8,0.081601,93.8
05_js_small,ud-q2_k_xl,555,832,896,0.034054,89.1,0.028572,93.8
05_js_small,ud-q2_k_xl,555,896,960,0.054638,92.2,0.057565,92.2
05_js_small,ud-q2_k_xl,555,960,1024,0.026325,95.3,0.022992,95.3
05_js_small,ud-q2_k_xl,555,1024,1088,0.048087,98.4,0.047077,96.9
05_js_small,ud-q2_k_xl,555,1088,1152,0.033922,93.8,0.035967,90.6
05_js_small,ud-q2_k_xl,555,1152,1216,0.055472,93.8,0.059166,95.3
05_js_small,ud-q2_k_xl,555,1216,1280,0.053210,85.9,0.038596,89.1
05_js_small,ud-q2_k_xl,555,1280,1344,0.057152,93.8,0.050034,96.9
05_js_small,ud-q2_k_xl,555,1344,1408,0.029343,93.8,0.029972,90.6
05_js_small,ud-q2_k_xl,555,1408,1472,0.047674,92.2,0.042945,89.1
05_js_small,ud-q2_k_xl,555,1472,1536,0.071775,85.9,0.066900,85.9
05_js_small,ud-q2_k_xl,555,1536,1600,0.045710,92.2,0.044074,92.2
05_js_small,ud-q2_k_xl,555,1600,1664,0.053219,93.8,0.049934,93.8
05_js_small,ud-q2_k_xl,555,1664,1728,0.036091,98.4,0.035302,98.4
05_js_small,ud-q2_k_xl,555,1728,1792,0.041473,95.3,0.034569,95.3
05_js_small,ud-q2_k_xl,555,1792,1856,0.024007,95.3,0.025448,95.3
05_js_small,ud-q2_k_xl,555,1856,1920,0.031797,96.9,0.028957,95.3
05_js_small,ud-q2_k_xl,555,1920,1984,0.038124,95.3,0.031724,93.8
05_js_small,ud-q2_k_xl,555,1984,2048,0.070652,92.2,0.061422,92.2
06_python2_small,ud-q2_k_xl,582,0,64,0.029995,96.9,0.023088,95.3
06_python2_small,ud-q2_k_xl,582,64,128,0.023252,95.3,0.015319,93.8
06_python2_small,ud-q2_k_xl,582,128,192,0.004964,100.0,0.004403,98.4
06_python2_small,ud-q2_k_xl,582,192,256,0.017623,96.9,0.012879,98.4
06_python2_small,ud-q2_k_xl,582,256,320,0.033776,95.3,0.023059,95.3
06_python2_small,ud-q2_k_xl,582,320,384,0.026952,93.8,0.020771,93.8
06_python2_small,ud-q2_k_xl,582,384,448,0.020802,95.3,0.017311,96.9
06_python2_small,ud-q2_k_xl,582,448,512,0.008991,96.9,0.009038,98.4
06_python2_small,ud-q2_k_xl,582,512,576,0.029656,96.9,0.022979,95.3
06_python2_small,ud-q2_k_xl,582,576,640,0.045576,93.8,0.037001,92.2
06_python2_small,ud-q2_k_xl,582,640,704,0.025513,92.2,0.022161,92.2
06_python2_small,ud-q2_k_xl,582,704,768,0.018532,93.8,0.015941,95.3
06_python2_small,ud-q2_k_xl,582,768,832,0.037461,96.9,0.029324,96.9
06_python2_small,ud-q2_k_xl,582,832,896,0.073487,92.2,0.069717,93.8
06_python2_small,ud-q2_k_xl,582,896,960,0.046015,89.1,0.046585,92.2
06_python2_small,ud-q2_k_xl,582,960,1024,0.078294,90.6,0.063511,89.1
06_python2_small,ud-q2_k_xl,582,1024,1088,0.112704,93.8,0.108644,95.3
06_python2_small,ud-q2_k_xl,582,1088,1152,0.038020,96.9,0.033261,96.9
06_python2_small,ud-q2_k_xl,582,1152,1216,0.031795,98.4,0.032415,98.4
06_python2_small,ud-q2_k_xl,582,1216,1280,0.032831,95.3,0.031157,95.3
06_python2_small,ud-q2_k_xl,582,1280,1344,0.026689,96.9,0.024947,96.9
06_python2_small,ud-q2_k_xl,582,1344,1408,0.039844,96.9,0.031761,96.9
06_python2_small,ud-q2_k_xl,582,1408,1472,0.069271,93.8,0.063131,95.3
06_python2_small,ud-q2_k_xl,582,1472,1536,0.104868,92.2,0.095070,92.2
06_python2_small,ud-q2_k_xl,582,1536,1600,0.013966,98.4,0.013087,98.4
06_python2_small,ud-q2_k_xl,582,1600,1664,0.048136,90.6,0.046002,92.2
06_python2_small,ud-q2_k_xl,582,1664,1728,0.053434,92.2,0.046027,93.8
06_python2_small,ud-q2_k_xl,582,1728,1792,0.042839,95.3,0.046432,96.9
06_python2_small,ud-q2_k_xl,582,1792,1856,0.023946,96.9,0.025425,96.9
06_python2_small,ud-q2_k_xl,582,1856,1920,0.050652,96.9,0.054249,95.3
06_python2_small,ud-q2_k_xl,582,1920,1929,0.091436,88.9,0.051984,88.9
07_c_small,ud-q2_k_xl,751,0,64,0.017998,96.9,0.023086,96.9
07_c_small,ud-q2_k_xl,751,64,128,0.027753,93.8,0.015082,96.9
07_c_small,ud-q2_k_xl,751,128,192,0.038742,90.6,0.019253,93.8
07_c_small,ud-q2_k_xl,751,192,256,0.018735,98.4,0.011029,98.4
07_c_small,ud-q2_k_xl,751,256,320,0.033076,95.3,0.023495,96.9
07_c_small,ud-q2_k_xl,751,320,384,0.055866,93.8,0.032145,95.3
07_c_small,ud-q2_k_xl,751,384,448,0.024794,96.9,0.022024,98.4
07_c_small,ud-q2_k_xl,751,448,512,0.033882,96.9,0.018734,96.9
07_c_small,ud-q2_k_xl,751,512,576,0.068231,90.6,0.064584,90.6
07_c_small,ud-q2_k_xl,751,576,640,0.024461,98.4,0.022605,96.9
07_c_small,ud-q2_k_xl,751,640,704,0.029156,95.3,0.033888,93.8
07_c_small,ud-q2_k_xl,751,704,768,0.073143,95.3,0.053283,96.9
07_c_small,ud-q2_k_xl,751,768,832,0.070716,90.6,0.046088,93.8
07_c_small,ud-q2_k_xl,751,832,896,0.039746,95.3,0.051776,93.8
07_c_small,ud-q2_k_xl,751,896,960,0.144340,84.4,0.132809,85.9
07_c_small,ud-q2_k_xl,751,960,1024,0.036357,96.9,0.020018,98.4
07_c_small,ud-q2_k_xl,751,1024,1088,0.029192,98.4,0.018687,100.0
07_c_small,ud-q2_k_xl,751,1088,1152,0.033297,89.1,0.028253,90.6
07_c_small,ud-q2_k_xl,751,1152,1216,0.040256,96.9,0.033834,96.9
07_c_small,ud-q2_k_xl,751,1216,1280,0.016508,98.4,0.010346,100.0
07_c_small,ud-q2_k_xl,751,1280,1344,0.001851,100.0,0.001399,100.0
07_c_small,ud-q2_k_xl,751,1344,1408,0.004348,98.4,0.002103,98.4
07_c_small,ud-q2_k_xl,751,1408,1472,0.190291,98.4,0.150860,98.4
07_c_small,ud-q2_k_xl,751,1472,1536,0.051320,96.9,0.061234,98.4
07_c_small,ud-q2_k_xl,751,1536,1600,0.098783,90.6,0.095051,92.2
07_c_small,ud-q2_k_xl,751,1600,1664,0.056512,95.3,0.051285,96.9
07_c_small,ud-q2_k_xl,751,1664,1728,0.024129,100.0,0.023459,100.0
07_c_small,ud-q2_k_xl,751,1728,1792,0.037146,98.4,0.034114,98.4
07_c_small,ud-q2_k_xl,751,1792,1856,0.053731,95.3,0.051718,95.3
07_c_small,ud-q2_k_xl,751,1856,1920,0.028103,96.9,0.023697,96.9
07_c_small,ud-q2_k_xl,751,1920,1984,0.125933,87.5,0.122964,85.9
07_c_small,ud-q2_k_xl,751,1984,2048,0.034008,96.9,0.034327,96.9
08_java_small,ud-q2_k_xl,840,0,64,0.011625,96.9,0.008398,98.4
08_java_small,ud-q2_k_xl,840,64,128,0.017651,95.3,0.012759,96.9
08_java_small,ud-q2_k_xl,840,128,192,0.033715,93.8,0.028296,96.9
08_java_small,ud-q2_k_xl,840,192,256,0.026273,93.8,0.022419,95.3
08_java_small,ud-q2_k_xl,840,256,320,0.021613,95.3,0.014438,96.9
08_java_small,ud-q2_k_xl,840,320,384,0.058737,92.2,0.051147,93.8
08_java_small,ud-q2_k_xl,840,384,448,0.050773,95.3,0.042973,96.9
08_java_small,ud-q2_k_xl,840,448,512,0.046774,90.6,0.036102,92.2
08_java_small,ud-q2_k_xl,840,512,576,0.043935,96.9,0.034302,96.9
08_java_small,ud-q2_k_xl,840,576,640,0.053090,92.2,0.047594,90.6
08_java_small,ud-q2_k_xl,840,640,704,0.047894,92.2,0.040860,93.8
08_java_small,ud-q2_k_xl,840,704,768,0.032944,96.9,0.036688,98.4
08_java_small,ud-q2_k_xl,840,768,832,0.110824,93.8,0.094665,92.2
08_java_small,ud-q2_k_xl,840,832,896,0.205822,82.8,0.176914,84.4
08_java_small,ud-q2_k_xl,840,896,960,0.050820,95.3,0.049425,95.3
08_java_small,ud-q2_k_xl,840,960,1024,0.097364,87.5,0.102228,87.5
08_java_small,ud-q2_k_xl,840,1024,1088,0.075626,93.8,0.067255,93.8
08_java_small,ud-q2_k_xl,840,1088,1152,0.040916,92.2,0.036564,95.3
08_java_small,ud-q2_k_xl,840,1152,1216,0.077642,87.5,0.076491,87.5
08_java_small,ud-q2_k_xl,840,1216,1280,0.048551,98.4,0.045562,100.0
08_java_small,ud-q2_k_xl,840,1280,1344,0.025025,96.9,0.023036,96.9
08_java_small,ud-q2_k_xl,840,1344,1408,0.065322,93.8,0.053051,95.3
08_java_small,ud-q2_k_xl,840,1408,1472,0.047324,95.3,0.039867,95.3
08_java_small,ud-q2_k_xl,840,1472,1536,0.015247,98.4,0.017618,98.4
08_java_small,ud-q2_k_xl,840,1536,1600,0.029334,95.3,0.024932,98.4
08_java_small,ud-q2_k_xl,840,1600,1664,0.066101,93.8,0.055383,96.9
08_java_small,ud-q2_k_xl,840,1664,1728,0.009097,96.9,0.008063,98.4
08_java_small,ud-q2_k_xl,840,1728,1792,0.040196,92.2,0.036639,93.8
08_java_small,ud-q2_k_xl,840,1792,1803,0.000001,100.0,0.000001,100.0
09_python_medium,ud-q2_k_xl,2474,0,64,0.055702,90.6,0.029139,95.3
09_python_medium,ud-q2_k_xl,2474,64,128,0.020198,93.8,0.015735,93.8
09_python_medium,ud-q2_k_xl,2474,128,192,0.027734,96.9,0.021671,96.9
09_python_medium,ud-q2_k_xl,2474,192,256,0.032384,93.8,0.028551,93.8
09_python_medium,ud-q2_k_xl,2474,256,320,0.031047,93.8,0.057719,93.8
09_python_medium,ud-q2_k_xl,2474,320,384,0.050393,98.4,0.041968,96.9
09_python_medium,ud-q2_k_xl,2474,384,448,0.062195,92.2,0.038473,93.8
09_python_medium,ud-q2_k_xl,2474,448,512,0.027181,100.0,0.021559,100.0
09_python_medium,ud-q2_k_xl,2474,512,576,0.061712,89.1,0.043414,89.1
09_python_medium,ud-q2_k_xl,2474,576,640,0.051211,93.8,0.045459,95.3
09_python_medium,ud-q2_k_xl,2474,640,704,0.051215,95.3,0.033221,98.4
09_python_medium,ud-q2_k_xl,2474,704,768,0.041497,90.6,0.043270,90.6
