prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
01_python_small,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,337,2048,0.035303,0.170080,0.443592,95.1,0.032515,0.160201,0.460632,95.1
02_rust_small,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,540,2048,0.037615,0.173346,0.609725,95.6,0.030562,0.131202,0.551045,95.9
03_go_small,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,396,1779,0.037503,0.218181,0.654126,96.6,0.033272,0.177227,0.535193,96.6
04_cpp_small,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,823,2048,0.045512,0.220958,0.733533,95.8,0.040018,0.197522,0.787588,96.1
05_js_small,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,555,2048,0.050127,0.244314,0.562289,93.2,0.043666,0.204855,0.475930,93.2
06_python2_small,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,582,1929,0.040568,0.201004,0.621860,95.0,0.036230,0.178502,0.584052,95.2
07_c_small,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,751,2048,0.048825,0.204407,0.587605,95.2,0.041664,0.171160,0.477845,95.9
08_java_small,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,840,1803,0.051478,0.270599,0.823691,93.8,0.045566,0.234668,0.750309,94.9
09_python_medium,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,2474,2048,0.055641,0.284857,0.738686,93.6,0.049230,0.235544,0.681321,93.8
10_go_medium,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,2135,2048,0.054791,0.263253,0.692701,93.0,0.045455,0.226310,0.613206,93.7
11_typescript_medium,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,2435,2048,0.071844,0.324435,0.845450,92.0,0.055700,0.252851,0.643081,92.9
12_rust_medium,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,2183,2048,0.056593,0.266027,0.660297,93.6,0.047081,0.213308,0.644836,94.3
13_python_large,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,8959,2048,0.047186,0.240160,0.644631,93.5,0.040087,0.218154,0.497046,94.4
14_go_large,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,8840,2048,0.056485,0.276771,0.633867,91.9,0.041768,0.206371,0.467700,93.2
15_cpp_medium,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,3958,2048,0.063145,0.305897,0.727808,92.6,0.043691,0.217076,0.463638,93.9
16_java_medium,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,2400,2048,0.047879,0.219692,0.527346,93.5,0.038154,0.184210,0.420475,94.1
17_rust_large,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,9803,2048,0.061713,0.271598,0.779643,92.7,0.043597,0.212536,0.586276,93.6
18_typescript_large,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,10613,2048,0.059030,0.277515,0.914526,92.6,0.046387,0.215072,0.710082,94.2
19_cpp_large,gemma4-26b-a4b-ud-q8_k_xl,ud-q2_k_xl,27866180608,10545958656,10737,2048,0.078686,0.374769,1.039984,92.3,0.053964,0.258029,0.743300,93.7
