prompt,target,n_prompt,window_start,window_end,kl_target,top1_target,kl_handoff,top1_handoff
01_python_small,ud-q2_k_xl,337,0,64,0.049953,95.3,0.022465,98.4
01_python_small,ud-q2_k_xl,337,64,128,0.047562,95.3,0.040951,98.4
01_python_small,ud-q2_k_xl,337,128,192,0.069388,95.3,0.060659,92.2
01_python_small,ud-q2_k_xl,337,192,256,0.105517,93.8,0.101419,95.3
01_python_small,ud-q2_k_xl,337,256,320,0.016530,100.0,0.007370,100.0
01_python_small,ud-q2_k_xl,337,320,384,0.039923,96.9,0.020216,100.0
01_python_small,ud-q2_k_xl,337,384,448,0.011735,100.0,0.012929,100.0
01_python_small,ud-q2_k_xl,337,448,512,0.033510,96.9,0.018215,96.9
01_python_small,ud-q2_k_xl,337,512,576,0.077556,87.5,0.035007,92.2
01_python_small,ud-q2_k_xl,337,576,640,0.077925,90.6,0.042618,95.3
01_python_small,ud-q2_k_xl,337,640,704,0.241084,79.7,0.210455,82.8
01_python_small,ud-q2_k_xl,337,704,768,0.235638,75.0,0.196100,79.7
01_python_small,ud-q2_k_xl,337,768,832,0.071266,95.3,0.048317,96.9
01_python_small,ud-q2_k_xl,337,832,896,0.070425,93.8,0.064059,95.3
01_python_small,ud-q2_k_xl,337,896,960,0.029348,98.4,0.021880,100.0
01_python_small,ud-q2_k_xl,337,960,1024,0.051025,92.2,0.033556,95.3
01_python_small,ud-q2_k_xl,337,1024,1088,0.140053,87.5,0.122104,85.9
01_python_small,ud-q2_k_xl,337,1088,1152,0.084396,90.6,0.073937,90.6
01_python_small,ud-q2_k_xl,337,1152,1216,0.174758,84.4,0.162200,84.4
01_python_small,ud-q2_k_xl,337,1216,1280,0.135185,85.9,0.108811,89.1
01_python_small,ud-q2_k_xl,337,1280,1344,0.143317,85.9,0.133113,87.5
01_python_small,ud-q2_k_xl,337,1344,1408,0.209109,87.5,0.106186,90.6
01_python_small,ud-q2_k_xl,337,1408,1472,0.096769,90.6,0.089616,92.2
01_python_small,ud-q2_k_xl,337,1472,1536,0.052630,93.8,0.053677,93.8
01_python_small,ud-q2_k_xl,337,1536,1600,0.139665,90.6,0.137213,89.1
01_python_small,ud-q2_k_xl,337,1600,1664,0.206828,87.5,0.239949,90.6
01_python_small,ud-q2_k_xl,337,1664,1728,0.234242,84.4,0.237097,82.8
01_python_small,ud-q2_k_xl,337,1728,1792,0.080882,92.2,0.073964,92.2
01_python_small,ud-q2_k_xl,337,1792,1856,0.066367,95.3,0.250297,95.3
01_python_small,ud-q2_k_xl,337,1856,1920,0.024879,96.9,0.020319,96.9
01_python_small,ud-q2_k_xl,337,1920,1984,0.057294,90.6,0.048225,93.8
01_python_small,ud-q2_k_xl,337,1984,2048,0.139636,89.1,0.128968,90.6
02_rust_small,ud-q2_k_xl,540,0,64,0.068905,95.3,0.039259,95.3
02_rust_small,ud-q2_k_xl,540,64,128,0.037230,93.8,0.031689,93.8
02_rust_small,ud-q2_k_xl,540,128,192,0.070033,85.9,0.076407,90.6
02_rust_small,ud-q2_k_xl,540,192,256,0.030962,100.0,0.020884,100.0
02_rust_small,ud-q2_k_xl,540,256,320,0.046012,96.9,0.030214,98.4
02_rust_small,ud-q2_k_xl,540,320,384,0.014971,98.4,0.012000,100.0
02_rust_small,ud-q2_k_xl,540,384,448,0.055698,96.9,0.037660,96.9
02_rust_small,ud-q2_k_xl,540,448,512,0.074607,90.6,0.044219,92.2
02_rust_small,ud-q2_k_xl,540,512,576,0.053568,98.4,0.042358,98.4
02_rust_small,ud-q2_k_xl,540,576,640,0.165365,84.4,0.114019,87.5
02_rust_small,ud-q2_k_xl,540,640,704,0.102191,87.5,0.181235,85.9
02_rust_small,ud-q2_k_xl,540,704,768,0.161572,89.1,0.125643,90.6
02_rust_small,ud-q2_k_xl,540,768,832,0.198717,90.6,0.190226,90.6
02_rust_small,ud-q2_k_xl,540,832,896,0.076251,89.1,0.063040,92.2
02_rust_small,ud-q2_k_xl,540,896,960,0.106559,95.3,0.100904,93.8
02_rust_small,ud-q2_k_xl,540,960,1024,0.147939,89.1,0.134691,90.6
02_rust_small,ud-q2_k_xl,540,1024,1088,0.120628,90.6,0.098376,90.6
02_rust_small,ud-q2_k_xl,540,1088,1152,0.346941,89.1,0.282044,90.6
02_rust_small,ud-q2_k_xl,540,1152,1216,0.238887,93.8,0.115279,95.3
02_rust_small,ud-q2_k_xl,540,1216,1280,0.058610,92.2,0.042247,90.6
02_rust_small,ud-q2_k_xl,540,1280,1344,0.088869,92.2,0.080002,92.2
02_rust_small,ud-q2_k_xl,540,1344,1408,0.093607,90.6,0.067286,95.3
02_rust_small,ud-q2_k_xl,540,1408,1472,0.137982,87.5,0.106507,90.6
02_rust_small,ud-q2_k_xl,540,1472,1536,0.000018,100.0,0.000010,100.0
