prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
01_python_small,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,337,2048,0.100450,0.518979,1.337093,91.2,0.091309,0.416002,1.181099,92.6
02_rust_small,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,540,1656,0.112157,0.520922,1.681066,92.1,0.091995,0.418686,1.294691,93.2
03_go_small,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,396,2048,0.078448,0.383955,1.454029,95.0,0.072081,0.342256,1.371080,95.2
04_cpp_small,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,823,1651,0.119141,0.632485,1.926498,92.2,0.099254,0.503523,1.730253,92.5
05_js_small,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,555,2048,0.154216,0.792324,2.284101,90.4,0.118524,0.621695,1.872162,91.7
06_python2_small,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,582,1602,0.127406,0.631840,1.815729,92.1,0.108437,0.487604,1.684480,93.0
07_c_small,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,751,2048,0.100914,0.529097,2.135983,94.2,0.080507,0.402486,1.501292,94.3
08_java_small,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,840,1447,0.156479,0.775566,2.102187,91.5,0.122877,0.615702,1.809550,91.8
09_python_medium,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,2474,2048,0.141764,0.675773,2.075091,90.4,0.117449,0.598188,1.652685,91.3
10_go_medium,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,2135,2048,0.162637,0.858328,2.066158,89.6,0.136038,0.699491,1.967823,90.3
11_typescript_medium,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,2435,2048,0.188370,0.843945,2.705667,89.5,0.152858,0.718450,2.193853,90.5
12_rust_medium,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,2183,2048,0.141461,0.707216,1.832082,89.3,0.118315,0.635426,1.576094,90.1
13_python_large,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,8959,2048,0.155109,0.749088,2.098971,90.5,0.122285,0.550836,1.629041,91.9
14_go_large,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,8840,2048,0.166149,0.761763,2.321677,89.8,0.129606,0.617394,1.840520,90.7
15_cpp_medium,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,3958,2048,0.168785,0.836652,2.268904,88.9,0.121715,0.589173,1.615017,90.7
16_java_medium,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,2400,2048,0.127526,0.625747,1.828606,91.9,0.098489,0.495323,1.418950,92.7
17_rust_large,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,9803,2048,0.184258,0.873033,2.603929,89.2,0.121098,0.633147,1.960208,91.3
18_typescript_large,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,10613,2048,0.128080,0.673736,2.060433,92.1,0.096622,0.492644,1.424383,92.5
19_cpp_large,gemma4-31b-bf16,ud-q2_k_xl,61413183648,11774984416,10737,2048,0.199750,0.902510,2.483142,85.9,0.144625,0.683362,1.776917,88.2
01_python_small,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,337,2048,0.024045,0.115403,0.266493,95.7,0.020202,0.108887,0.253904,96.0
02_rust_small,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,540,1656,0.025967,0.127117,0.389315,96.9,0.022139,0.105209,0.351711,97.0
03_go_small,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,396,2048,0.022591,0.109711,0.460568,96.9,0.019303,0.101398,0.366490,97.0
04_cpp_small,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,823,1651,0.031471,0.139851,0.673006,96.5,0.027449,0.119503,0.594240,96.9
05_js_small,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,555,2048,0.029798,0.147616,0.458732,96.4,0.024372,0.115716,0.391333,96.7
06_python2_small,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,582,1602,0.027813,0.146105,0.411639,95.9,0.024395,0.131799,0.356451,96.4
07_c_small,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,751,2048,0.020525,0.093217,0.340672,97.4,0.016473,0.073290,0.301963,97.5
08_java_small,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,840,1447,0.031678,0.148354,0.665773,95.2,0.026742,0.125704,0.507154,95.6
09_python_medium,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,2474,2048,0.036737,0.178131,0.586741,94.6,0.030989,0.144371,0.459437,94.9
10_go_medium,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,2135,2048,0.034799,0.174607,0.459717,95.1,0.029932,0.142916,0.414243,95.3
11_typescript_medium,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,2435,2048,0.041408,0.221377,0.517783,95.0,0.033003,0.161140,0.461723,95.7
12_rust_medium,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,2183,2048,0.040791,0.182236,0.615314,94.3,0.034960,0.164205,0.541128,94.5
13_python_large,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,8959,2048,0.038724,0.189980,0.588508,95.8,0.029196,0.133103,0.404505,97.0
14_go_large,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,8840,2048,0.037788,0.188158,0.445899,95.1,0.030311,0.154231,0.372338,95.6
15_cpp_medium,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,3958,2048,0.040457,0.197727,0.577305,94.6,0.028643,0.133401,0.477445,95.3
16_java_medium,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,2400,2048,0.031998,0.147497,0.386391,96.0,0.027403,0.130741,0.344070,96.3
17_rust_large,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,9803,2048,0.047099,0.235905,0.731845,94.8,0.030966,0.134108,0.449106,95.8
18_typescript_large,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,10613,2048,0.030418,0.152896,0.437638,95.9,0.023673,0.121338,0.343352,96.8
19_cpp_large,gemma4-31b-bf16,ud-q3_k_xl,61413183648,15322413024,10737,2048,0.045376,0.206840,0.673829,93.5,0.034131,0.149747,0.464161,94.5
01_python_small,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,337,2048,0.005438,0.024541,0.067455,97.9,0.004995,0.023371,0.064045,97.8
02_rust_small,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,540,1656,0.006195,0.032312,0.119201,98.2,0.005085,0.024582,0.094795,98.2
03_go_small,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,396,2048,0.006572,0.031858,0.138503,98.1,0.005837,0.027197,0.122563,98.3
04_cpp_small,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,823,1651,0.008770,0.038377,0.181508,97.5,0.007760,0.033287,0.160758,98.0
05_js_small,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,555,2048,0.008221,0.043695,0.125256,97.7,0.006571,0.033714,0.091560,97.7
06_python2_small,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,582,1602,0.008681,0.044572,0.134873,98.1,0.007497,0.036887,0.122522,98.0
07_c_small,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,751,2048,0.006016,0.029666,0.094174,98.7,0.004978,0.023719,0.078291,98.7
08_java_small,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,840,1447,0.008164,0.038215,0.139147,97.7,0.007226,0.034107,0.129507,97.9
09_python_medium,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,2474,2048,0.010065,0.051025,0.148651,96.9,0.008738,0.041954,0.133500,97.1
10_go_medium,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,2135,2048,0.011669,0.054327,0.192660,96.8,0.009951,0.046763,0.164352,97.1
11_typescript_medium,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,2435,2048,0.011076,0.052758,0.144034,97.3,0.008671,0.041588,0.122836,97.4
12_rust_medium,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,2183,2048,0.010545,0.051207,0.175733,97.1,0.008626,0.043211,0.126601,97.2
13_python_large,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,8959,2048,0.011243,0.055996,0.164337,97.9,0.008339,0.042118,0.111509,97.9
14_go_large,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,8840,2048,0.010061,0.047441,0.143628,97.3,0.008067,0.040559,0.120759,97.4
15_cpp_medium,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,3958,2048,0.012427,0.057880,0.190084,97.0,0.008648,0.039722,0.123992,97.3
16_java_medium,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,2400,2048,0.007872,0.038974,0.108879,98.1,0.006324,0.031224,0.092442,98.3
17_rust_large,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,9803,2048,0.013392,0.061462,0.230613,97.3,0.009479,0.044716,0.145005,97.7
18_typescript_large,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,10613,2048,0.008849,0.043915,0.133067,97.7,0.007178,0.035368,0.119984,98.1
19_cpp_large,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,10737,2048,0.012335,0.053766,0.147312,96.4,0.009611,0.043179,0.111556,96.7
01_python_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,337,2048,0.002237,0.008174,0.022438,99.1,0.001691,0.007204,0.017660,99.1
02_rust_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,540,1656,0.001916,0.009957,0.028052,99.0,0.001487,0.007580,0.020173,99.1
03_go_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,396,2048,0.001748,0.008355,0.031355,99.2,0.001533,0.006858,0.024726,99.2
04_cpp_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,823,1651,0.002299,0.009770,0.040531,99.3,0.001788,0.007537,0.034830,99.5
05_js_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,555,2048,0.002707,0.014122,0.036589,98.7,0.002096,0.011222,0.033139,98.9
06_python2_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,582,1602,0.002140,0.011032,0.033910,99.1,0.001824,0.008221,0.029018,99.1
07_c_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,751,2048,0.001555,0.007037,0.030876,99.2,0.001248,0.005259,0.024363,99.4
08_java_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,840,1447,0.002313,0.009346,0.042291,98.6,0.002007,0.008593,0.033465,99.0
09_python_medium,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,2474,2048,0.002775,0.013671,0.042300,98.5,0.002318,0.011126,0.037944,98.9
