prompt,target,n_prompt,window_start,window_end,kl_target,top1_target,kl_handoff,top1_handoff
01_python_bug,ud-q3_k_xl,337,0,64,0.014182,95.3,0.009661,96.9
01_python_bug,ud-q3_k_xl,337,64,128,0.017628,92.2,0.007868,95.3
01_python_bug,ud-q3_k_xl,337,128,192,0.021175,98.4,0.010181,100.0
01_python_bug,ud-q3_k_xl,337,192,256,0.009041,96.9,0.006627,98.4
01_python_bug,ud-q3_k_xl,337,256,320,0.020239,98.4,0.017637,95.3
01_python_bug,ud-q3_k_xl,337,320,384,0.027366,92.2,0.020035,93.8
01_python_bug,ud-q3_k_xl,337,384,448,0.048277,96.9,0.039031,96.9
01_python_bug,ud-q3_k_xl,337,448,512,0.044689,96.9,0.036142,96.9
01_python_bug,ud-q3_k_xl,337,512,576,0.034187,92.2,0.031416,90.6
01_python_bug,ud-q3_k_xl,337,576,640,0.019622,98.4,0.011076,100.0
01_python_bug,ud-q3_k_xl,337,640,704,0.059739,93.8,0.055863,92.2
01_python_bug,ud-q3_k_xl,337,704,768,0.024172,92.2,0.020455,90.6
01_python_bug,ud-q3_k_xl,337,768,832,0.006557,98.4,0.004848,98.4
01_python_bug,ud-q3_k_xl,337,832,896,0.054822,95.3,0.028824,96.9
01_python_bug,ud-q3_k_xl,337,896,960,0.048353,95.3,0.040252,95.3
01_python_bug,ud-q3_k_xl,337,960,1024,0.102685,96.9,0.100040,95.3
01_python_bug,ud-q3_k_xl,337,1024,1088,0.013544,98.4,0.012949,100.0
01_python_bug,ud-q3_k_xl,337,1088,1152,0.000001,100.0,0.000002,100.0
01_python_bug,ud-q3_k_xl,337,1152,1216,0.002907,100.0,0.003011,100.0
01_python_bug,ud-q3_k_xl,337,1216,1280,0.043756,89.1,0.043655,89.1
01_python_bug,ud-q3_k_xl,337,1280,1344,0.040944,95.3,0.032505,95.3
01_python_bug,ud-q3_k_xl,337,1344,1408,0.000000,100.0,0.000000,100.0
01_python_bug,ud-q3_k_xl,337,1408,1472,0.001724,100.0,0.001483,100.0
01_python_bug,ud-q3_k_xl,337,1472,1536,0.000004,100.0,0.000003,100.0
01_python_bug,ud-q3_k_xl,337,1536,1600,0.004882,100.0,0.002631,100.0
01_python_bug,ud-q3_k_xl,337,1600,1663,0.003917,100.0,0.003574,100.0
02_rust_explain,ud-q3_k_xl,539,0,64,0.019962,98.4,0.015911,98.4
02_rust_explain,ud-q3_k_xl,539,64,128,0.009051,98.4,0.008225,98.4
02_rust_explain,ud-q3_k_xl,539,128,192,0.024411,98.4,0.030150,95.3
02_rust_explain,ud-q3_k_xl,539,192,256,0.017651,96.9,0.014716,98.4
02_rust_explain,ud-q3_k_xl,539,256,320,0.011780,98.4,0.009416,100.0
02_rust_explain,ud-q3_k_xl,539,320,384,0.006517,96.9,0.004236,96.9
02_rust_explain,ud-q3_k_xl,539,384,448,0.011812,96.9,0.008328,98.4
02_rust_explain,ud-q3_k_xl,539,448,512,0.024088,98.4,0.016422,96.9
02_rust_explain,ud-q3_k_xl,539,512,576,0.029071,95.3,0.018135,95.3
02_rust_explain,ud-q3_k_xl,539,576,640,0.023946,95.3,0.019135,96.9
02_rust_explain,ud-q3_k_xl,539,640,704,0.031054,98.4,0.026438,98.4
02_rust_explain,ud-q3_k_xl,539,704,768,0.047097,98.4,0.039266,98.4
02_rust_explain,ud-q3_k_xl,539,768,832,0.020419,96.9,0.016437,95.3
02_rust_explain,ud-q3_k_xl,539,832,896,0.009379,98.4,0.011338,98.4
02_rust_explain,ud-q3_k_xl,539,896,960,0.036592,89.1,0.030571,90.6
02_rust_explain,ud-q3_k_xl,539,960,1024,0.014367,100.0,0.015928,100.0
02_rust_explain,ud-q3_k_xl,539,1024,1088,0.034851,95.3,0.035091,95.3
02_rust_explain,ud-q3_k_xl,539,1088,1152,0.014949,98.4,0.012441,98.4
02_rust_explain,ud-q3_k_xl,539,1152,1216,0.026716,98.4,0.028344,100.0
02_rust_explain,ud-q3_k_xl,539,1216,1280,0.029996,95.3,0.019497,95.3
02_rust_explain,ud-q3_k_xl,539,1280,1344,0.018079,95.3,0.020499,96.9
02_rust_explain,ud-q3_k_xl,539,1344,1408,0.010426,96.9,0.009657,98.4
02_rust_explain,ud-q3_k_xl,539,1408,1472,0.031493,96.9,0.033913,96.9
02_rust_explain,ud-q3_k_xl,539,1472,1536,0.011165,100.0,0.009629,100.0
02_rust_explain,ud-q3_k_xl,539,1536,1593,0.021261,98.2,0.014349,100.0
03_go_bug,ud-q3_k_xl,396,0,64,0.020283,93.8,0.014011,93.8
03_go_bug,ud-q3_k_xl,396,64,128,0.017530,95.3,0.014003,95.3
03_go_bug,ud-q3_k_xl,396,128,192,0.009218,98.4,0.007245,98.4
03_go_bug,ud-q3_k_xl,396,192,256,0.018872,95.3,0.012882,95.3
03_go_bug,ud-q3_k_xl,396,256,320,0.053458,93.8,0.028999,98.4
03_go_bug,ud-q3_k_xl,396,320,384,0.028924,95.3,0.020305,95.3
03_go_bug,ud-q3_k_xl,396,384,448,0.019455,93.8,0.016643,95.3
03_go_bug,ud-q3_k_xl,396,448,512,0.030014,96.9,0.028544,98.4
03_go_bug,ud-q3_k_xl,396,512,576,0.010481,95.3,0.010298,96.9
03_go_bug,ud-q3_k_xl,396,576,640,0.019038,96.9,0.020461,98.4
03_go_bug,ud-q3_k_xl,396,640,704,0.024941,93.8,0.023755,95.3
03_go_bug,ud-q3_k_xl,396,704,768,0.056858,92.2,0.055985,90.6
03_go_bug,ud-q3_k_xl,396,768,832,0.025629,92.2,0.023378,96.9
03_go_bug,ud-q3_k_xl,396,832,896,0.034902,98.4,0.031042,98.4
03_go_bug,ud-q3_k_xl,396,896,960,0.019346,98.4,0.019015,98.4
03_go_bug,ud-q3_k_xl,396,960,1024,0.032490,98.4,0.028758,98.4
03_go_bug,ud-q3_k_xl,396,1024,1088,0.016437,95.3,0.014722,96.9
03_go_bug,ud-q3_k_xl,396,1088,1152,0.024733,95.3,0.023768,98.4
03_go_bug,ud-q3_k_xl,396,1152,1216,0.027381,98.4,0.019744,96.9
03_go_bug,ud-q3_k_xl,396,1216,1280,0.009758,100.0,0.008533,100.0
03_go_bug,ud-q3_k_xl,396,1280,1344,0.056073,92.2,0.049506,92.2
03_go_bug,ud-q3_k_xl,396,1344,1408,0.037538,96.9,0.033259,96.9
03_go_bug,ud-q3_k_xl,396,1408,1472,0.044183,95.3,0.029573,95.3
03_go_bug,ud-q3_k_xl,396,1472,1536,0.030981,96.9,0.032626,96.9
03_go_bug,ud-q3_k_xl,396,1536,1600,0.048965,92.2,0.045803,93.8
03_go_bug,ud-q3_k_xl,396,1600,1664,0.020689,98.4,0.017922,98.4
03_go_bug,ud-q3_k_xl,396,1664,1728,0.005122,100.0,0.005009,100.0
03_go_bug,ud-q3_k_xl,396,1728,1792,0.003103,98.4,0.002772,98.4
03_go_bug,ud-q3_k_xl,396,1792,1856,0.000020,100.0,0.000024,100.0
03_go_bug,ud-q3_k_xl,396,1856,1920,0.005430,100.0,0.004930,100.0
03_go_bug,ud-q3_k_xl,396,1920,1984,0.000000,100.0,0.000000,100.0
03_go_bug,ud-q3_k_xl,396,1984,2048,0.002197,98.4,0.000125,100.0
04_cpp_explain,ud-q3_k_xl,837,0,64,0.005740,96.9,0.004048,96.9
04_cpp_explain,ud-q3_k_xl,837,64,128,0.019233,93.8,0.014324,96.9
04_cpp_explain,ud-q3_k_xl,837,128,192,0.023347,98.4,0.012463,98.4
04_cpp_explain,ud-q3_k_xl,837,192,256,0.023978,96.9,0.024808,96.9
04_cpp_explain,ud-q3_k_xl,837,256,320,0.012198,95.3,0.013390,95.3
04_cpp_explain,ud-q3_k_xl,837,320,384,0.012674,96.9,0.012381,92.2
04_cpp_explain,ud-q3_k_xl,837,384,448,0.016525,96.9,0.011289,98.4
04_cpp_explain,ud-q3_k_xl,837,448,512,0.005298,100.0,0.003867,98.4
04_cpp_explain,ud-q3_k_xl,837,512,576,0.017554,95.3,0.013705,95.3
04_cpp_explain,ud-q3_k_xl,837,576,640,0.012269,98.4,0.008323,100.0
04_cpp_explain,ud-q3_k_xl,837,640,704,0.026592,92.2,0.015493,90.6
04_cpp_explain,ud-q3_k_xl,837,704,768,0.065094,92.2,0.054045,92.2
04_cpp_explain,ud-q3_k_xl,837,768,832,0.015642,96.9,0.012358,96.9
04_cpp_explain,ud-q3_k_xl,837,832,896,0.039760,98.4,0.042672,96.9
04_cpp_explain,ud-q3_k_xl,837,896,960,0.025077,96.9,0.024858,96.9
04_cpp_explain,ud-q3_k_xl,837,960,1024,0.049867,96.9,0.034905,98.4
04_cpp_explain,ud-q3_k_xl,837,1024,1088,0.042237,95.3,0.027850,96.9
04_cpp_explain,ud-q3_k_xl,837,1088,1152,0.041702,96.9,0.036454,96.9
04_cpp_explain,ud-q3_k_xl,837,1152,1216,0.026206,96.9,0.022823,96.9
04_cpp_explain,ud-q3_k_xl,837,1216,1280,0.029226,96.9,0.024028,98.4
04_cpp_explain,ud-q3_k_xl,837,1280,1344,0.038060,98.4,0.017263,98.4
04_cpp_explain,ud-q3_k_xl,837,1344,1408,0.027014,96.9,0.023082,98.4
04_cpp_explain,ud-q3_k_xl,837,1408,1472,0.013480,95.3,0.012340,95.3
04_cpp_explain,ud-q3_k_xl,837,1472,1536,0.021960,96.9,0.020961,98.4
04_cpp_explain,ud-q3_k_xl,837,1536,1590,0.022008,98.1,0.021779,100.0
05_js_bug,ud-q3_k_xl,556,0,64,0.022480,90.6,0.012081,95.3
05_js_bug,ud-q3_k_xl,556,64,128,0.012207,98.4,0.009232,98.4
05_js_bug,ud-q3_k_xl,556,128,192,0.021671,95.3,0.018822,93.8
05_js_bug,ud-q3_k_xl,556,192,256,0.007674,96.9,0.007205,96.9
05_js_bug,ud-q3_k_xl,556,256,320,0.004400,100.0,0.004420,100.0
05_js_bug,ud-q3_k_xl,556,320,384,0.044998,96.9,0.023808,96.9
05_js_bug,ud-q3_k_xl,556,384,448,0.017395,98.4,0.010316,100.0
05_js_bug,ud-q3_k_xl,556,448,512,0.032056,90.6,0.029044,90.6
05_js_bug,ud-q3_k_xl,556,512,576,0.013822,98.4,0.010650,98.4
05_js_bug,ud-q3_k_xl,556,576,640,0.034681,100.0,0.031489,100.0
05_js_bug,ud-q3_k_xl,556,640,704,0.015361,93.8,0.014351,93.8
05_js_bug,ud-q3_k_xl,556,704,768,0.032499,95.3,0.025986,98.4
05_js_bug,ud-q3_k_xl,556,768,832,0.043916,93.8,0.039256,90.6
05_js_bug,ud-q3_k_xl,556,832,896,0.032969,93.8,0.023915,93.8
05_js_bug,ud-q3_k_xl,556,896,960,0.041114,92.2,0.034294,90.6
05_js_bug,ud-q3_k_xl,556,960,1024,0.030155,95.3,0.033062,93.8
05_js_bug,ud-q3_k_xl,556,1024,1088,0.055891,89.1,0.023862,93.8
05_js_bug,ud-q3_k_xl,556,1088,1152,0.021754,98.4,0.017001,100.0
05_js_bug,ud-q3_k_xl,556,1152,1216,0.036466,95.3,0.029596,95.3
05_js_bug,ud-q3_k_xl,556,1216,1280,0.033444,96.9,0.022905,96.9
05_js_bug,ud-q3_k_xl,556,1280,1344,0.036617,95.3,0.039450,93.8
05_js_bug,ud-q3_k_xl,556,1344,1408,0.009907,100.0,0.009504,100.0
05_js_bug,ud-q3_k_xl,556,1408,1472,0.023802,100.0,0.016593,98.4
05_js_bug,ud-q3_k_xl,556,1472,1536,0.067872,92.2,0.072283,93.8
05_js_bug,ud-q3_k_xl,556,1536,1600,0.034950,95.3,0.032669,93.8
