prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
01_python_small,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,337,2048,0.222293,1.276378,3.504193,89.6,0.173124,0.985349,2.470137,90.5
02_rust_small,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,540,2048,0.249191,1.417906,3.058447,87.2,0.191990,1.106680,2.458691,87.8
03_go_small,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,396,2048,0.310898,1.575232,3.205972,83.2,0.263146,1.335070,2.869918,84.3
04_cpp_small,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,823,2048,0.306093,1.654934,3.689201,84.5,0.256287,1.398425,3.046947,86.0
05_js_small,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,555,2048,0.349974,1.692994,3.070351,80.0,0.303398,1.430523,3.075621,81.4
06_python2_small,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,582,2048,0.284310,1.476314,3.273623,85.9,0.229992,1.226945,2.731122,87.3
07_c_small,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,751,2048,0.260519,1.366573,3.229809,86.6,0.202947,1.070602,2.522343,87.4
08_java_small,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,840,2031,0.319834,1.692500,4.468190,85.6,0.261811,1.383815,3.902216,86.9
09_python_medium,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,2474,2048,0.376287,1.802736,3.329926,79.9,0.317979,1.494420,2.816770,81.4
10_go_medium,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,2135,2048,0.370443,1.773943,2.976839,81.4,0.286124,1.377680,2.524339,83.6
11_typescript_medium,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,2435,2048,0.418693,1.951873,3.986640,80.3,0.298059,1.280048,2.644944,82.6
12_rust_medium,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,2183,2048,0.469973,2.172192,4.013251,75.9,0.375779,1.601065,3.088289,78.0
13_python_large,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,8959,2048,0.409157,2.027361,4.473727,81.5,0.294935,1.448002,2.904174,84.0
14_go_large,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,8840,2048,0.468174,2.074992,4.022650,77.1,0.320444,1.416908,3.007760,81.3
15_cpp_medium,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,3958,2048,0.441455,2.111997,3.901089,78.1,0.326946,1.527702,3.126741,80.6
16_java_medium,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,2400,2048,0.447445,2.108636,4.085672,78.5,0.337783,1.584041,2.907411,80.8
17_rust_large,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,9803,2048,0.424391,2.259223,4.010473,80.1,0.292488,1.363995,2.870292,82.0
18_typescript_large,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,10613,2048,0.378427,2.062374,4.098861,82.2,0.286818,1.484979,3.192257,84.7
19_cpp_large,gemma4-e2b-bf16,ud-q2_k_xl,9311298688,2399903104,10737,2048,0.502264,2.077439,4.412332,75.4,0.375181,1.574077,3.111752,78.6
