prompt,target,n_prompt,window_start,window_end,kl_target,top1_target,kl_handoff,top1_handoff
01_python_small,ud-q2_k_xl,337,0,64,0.356931,82.8,0.197636,92.2
01_python_small,ud-q2_k_xl,337,64,128,0.296773,84.4,0.259535,81.2
01_python_small,ud-q2_k_xl,337,128,192,0.266201,87.5,0.186896,84.4
01_python_small,ud-q2_k_xl,337,192,256,0.533145,84.4,0.285508,84.4
01_python_small,ud-q2_k_xl,337,256,320,0.199328,92.2,0.119015,93.8
01_python_small,ud-q2_k_xl,337,320,384,0.081949,92.2,0.074163,96.9
01_python_small,ud-q2_k_xl,337,384,448,0.350342,87.5,0.247167,87.5
01_python_small,ud-q2_k_xl,337,448,512,0.218929,87.5,0.166362,87.5
01_python_small,ud-q2_k_xl,337,512,576,0.276698,87.5,0.254088,85.9
01_python_small,ud-q2_k_xl,337,576,640,0.101228,95.3,0.076547,95.3
01_python_small,ud-q2_k_xl,337,640,704,0.335195,81.2,0.324379,82.8
01_python_small,ud-q2_k_xl,337,704,768,0.300971,96.9,0.258898,96.9
01_python_small,ud-q2_k_xl,337,768,832,0.007520,100.0,0.005418,100.0
01_python_small,ud-q2_k_xl,337,832,896,0.018813,100.0,0.017493,100.0
01_python_small,ud-q2_k_xl,337,896,960,0.045837,96.9,0.042735,96.9
01_python_small,ud-q2_k_xl,337,960,1024,0.160401,85.9,0.147191,85.9
01_python_small,ud-q2_k_xl,337,1024,1088,0.209707,87.5,0.193329,84.4
01_python_small,ud-q2_k_xl,337,1088,1152,0.145411,92.2,0.126785,95.3
01_python_small,ud-q2_k_xl,337,1152,1216,0.232467,79.7,0.213072,82.8
01_python_small,ud-q2_k_xl,337,1216,1280,0.413679,84.4,0.317405,84.4
01_python_small,ud-q2_k_xl,337,1280,1344,0.408152,82.8,0.313883,81.2
01_python_small,ud-q2_k_xl,337,1344,1408,0.422685,75.0,0.313823,75.0
01_python_small,ud-q2_k_xl,337,1408,1472,0.374104,81.2,0.268731,84.4
01_python_small,ud-q2_k_xl,337,1472,1536,0.442326,79.7,0.399742,81.2
01_python_small,ud-q2_k_xl,337,1536,1600,0.311386,78.1,0.282484,79.7
01_python_small,ud-q2_k_xl,337,1600,1664,0.326042,82.8,0.295757,87.5
01_python_small,ud-q2_k_xl,337,1664,1728,0.355286,70.3,0.335228,70.3
01_python_small,ud-q2_k_xl,337,1728,1792,0.299239,75.0,0.249547,75.0
01_python_small,ud-q2_k_xl,337,1792,1856,0.376137,68.8,0.325800,70.3
01_python_small,ud-q2_k_xl,337,1856,1920,0.515901,71.9,0.464565,71.9
01_python_small,ud-q2_k_xl,337,1920,1984,0.287795,75.0,0.229292,78.1
01_python_small,ud-q2_k_xl,337,1984,2048,0.203449,89.1,0.166151,93.8
02_rust_small,ud-q2_k_xl,540,0,64,0.284492,92.2,0.190493,92.2
02_rust_small,ud-q2_k_xl,540,64,128,0.142331,92.2,0.110047,93.8
02_rust_small,ud-q2_k_xl,540,128,192,0.084832,95.3,0.034300,96.9
02_rust_small,ud-q2_k_xl,540,192,256,0.338692,90.6,0.167907,92.2
02_rust_small,ud-q2_k_xl,540,256,320,0.551678,71.9,0.414166,84.4
02_rust_small,ud-q2_k_xl,540,320,384,0.241836,93.8,0.115146,95.3
02_rust_small,ud-q2_k_xl,540,384,448,0.180663,93.8,0.151358,93.8
02_rust_small,ud-q2_k_xl,540,448,512,0.219558,89.1,0.171466,90.6
02_rust_small,ud-q2_k_xl,540,512,576,0.278401,84.4,0.258256,84.4
02_rust_small,ud-q2_k_xl,540,576,640,0.424410,92.2,0.441430,90.6
02_rust_small,ud-q2_k_xl,540,640,704,0.256909,93.8,0.265573,96.9
02_rust_small,ud-q2_k_xl,540,704,768,0.141026,95.3,0.155569,95.3
02_rust_small,ud-q2_k_xl,540,768,832,0.130821,96.9,0.112525,98.4
02_rust_small,ud-q2_k_xl,540,832,896,0.313557,82.8,0.330005,84.4
02_rust_small,ud-q2_k_xl,540,896,960,0.387415,82.8,0.328025,85.9
02_rust_small,ud-q2_k_xl,540,960,1024,0.397872,84.4,0.276106,87.5
02_rust_small,ud-q2_k_xl,540,1024,1088,0.050179,95.3,0.063627,95.3
02_rust_small,ud-q2_k_xl,540,1088,1152,0.376886,82.8,0.347072,84.4
02_rust_small,ud-q2_k_xl,540,1152,1216,0.530237,78.1,0.329643,84.4
02_rust_small,ud-q2_k_xl,540,1216,1280,0.538064,79.7,0.416508,79.7
02_rust_small,ud-q2_k_xl,540,1280,1344,0.215350,87.5,0.126975,90.6
02_rust_small,ud-q2_k_xl,540,1344,1408,0.116867,95.3,0.120027,95.3
02_rust_small,ud-q2_k_xl,540,1408,1472,0.263816,89.1,0.211026,89.1
02_rust_small,ud-q2_k_xl,540,1472,1536,0.093143,93.8,0.082762,95.3
02_rust_small,ud-q2_k_xl,540,1536,1600,0.309765,81.2,0.214432,82.8
02_rust_small,ud-q2_k_xl,540,1600,1664,0.311781,87.5,0.253549,89.1
02_rust_small,ud-q2_k_xl,540,1664,1728,0.226638,82.8,0.173736,89.1
02_rust_small,ud-q2_k_xl,540,1728,1792,0.232423,90.6,0.206747,89.1
02_rust_small,ud-q2_k_xl,540,1792,1856,0.068775,96.9,0.074703,95.3
02_rust_small,ud-q2_k_xl,540,1856,1920,0.116883,95.3,0.117907,93.8
02_rust_small,ud-q2_k_xl,540,1920,1984,0.330839,84.4,0.251681,84.4
02_rust_small,ud-q2_k_xl,540,1984,2048,0.418467,78.1,0.285172,82.8
03_go_small,ud-q2_k_xl,396,0,64,0.093209,93.8,0.066256,95.3
03_go_small,ud-q2_k_xl,396,64,128,0.175943,92.2,0.127085,89.1
03_go_small,ud-q2_k_xl,396,128,192,0.250957,81.2,0.177622,85.9
03_go_small,ud-q2_k_xl,396,192,256,0.358700,76.6,0.275299,73.4
03_go_small,ud-q2_k_xl,396,256,320,0.490190,81.2,0.517758,79.7
03_go_small,ud-q2_k_xl,396,320,384,0.171444,92.2,0.067685,96.9
03_go_small,ud-q2_k_xl,396,384,448,0.124850,93.8,0.040112,96.9
03_go_small,ud-q2_k_xl,396,448,512,0.414625,87.5,0.238612,87.5
03_go_small,ud-q2_k_xl,396,512,576,0.444343,73.4,0.309211,76.6
03_go_small,ud-q2_k_xl,396,576,640,0.325325,84.4,0.213089,90.6
03_go_small,ud-q2_k_xl,396,640,704,0.218538,79.7,0.210346,82.8
03_go_small,ud-q2_k_xl,396,704,768,0.188116,87.5,0.176357,92.2
03_go_small,ud-q2_k_xl,396,768,832,0.360584,79.7,0.256560,82.8
03_go_small,ud-q2_k_xl,396,832,896,0.698850,64.1,0.619956,70.3
03_go_small,ud-q2_k_xl,396,896,960,0.463162,76.6,0.356314,81.2
03_go_small,ud-q2_k_xl,396,960,1024,0.350151,81.2,0.312844,79.7
03_go_small,ud-q2_k_xl,396,1024,1088,0.434291,75.0,0.430172,71.9
03_go_small,ud-q2_k_xl,396,1088,1152,0.418087,78.1,0.395840,75.0
03_go_small,ud-q2_k_xl,396,1152,1216,0.302360,84.4,0.284774,87.5
03_go_small,ud-q2_k_xl,396,1216,1280,0.360287,70.3,0.325023,71.9
03_go_small,ud-q2_k_xl,396,1280,1344,0.180667,90.6,0.183342,92.2
03_go_small,ud-q2_k_xl,396,1344,1408,0.371587,84.4,0.368067,81.2
03_go_small,ud-q2_k_xl,396,1408,1472,0.466849,79.7,0.467899,82.8
