prompt,target,n_prompt,window_start,window_end,kl_target,top1_target,kl_handoff,top1_handoff
01_python_small,ud-q2_k_xl,337,0,64,0.115458,89.1,0.073852,90.6
01_python_small,ud-q2_k_xl,337,64,128,0.207803,92.2,0.151267,90.6
01_python_small,ud-q2_k_xl,337,128,192,0.100842,92.2,0.074317,92.2
01_python_small,ud-q2_k_xl,337,192,256,0.083897,96.9,0.051454,93.8
01_python_small,ud-q2_k_xl,337,256,320,0.051479,95.3,0.044805,95.3
01_python_small,ud-q2_k_xl,337,320,384,0.082055,90.6,0.083495,93.8
01_python_small,ud-q2_k_xl,337,384,448,0.142965,93.8,0.133867,90.6
01_python_small,ud-q2_k_xl,337,448,512,0.085593,92.2,0.070529,90.6
01_python_small,ud-q2_k_xl,337,512,576,0.207921,82.8,0.178057,87.5
01_python_small,ud-q2_k_xl,337,576,640,0.099680,96.9,0.069443,96.9
01_python_small,ud-q2_k_xl,337,640,704,0.061695,93.8,0.055099,96.9
01_python_small,ud-q2_k_xl,337,704,768,0.065255,98.4,0.063559,100.0
01_python_small,ud-q2_k_xl,337,768,832,0.093512,95.3,0.085449,95.3
01_python_small,ud-q2_k_xl,337,832,896,0.005882,100.0,0.005136,100.0
01_python_small,ud-q2_k_xl,337,896,960,0.003579,100.0,0.009865,98.4
01_python_small,ud-q2_k_xl,337,960,1024,0.028283,98.4,0.013910,98.4
01_python_small,ud-q2_k_xl,337,1024,1088,0.060700,98.4,0.047197,98.4
01_python_small,ud-q2_k_xl,337,1088,1152,0.170129,89.1,0.162558,89.1
01_python_small,ud-q2_k_xl,337,1152,1216,0.152039,93.8,0.139381,93.8
01_python_small,ud-q2_k_xl,337,1216,1280,0.197826,87.5,0.179348,90.6
01_python_small,ud-q2_k_xl,337,1280,1344,0.295910,82.8,0.271895,81.2
01_python_small,ud-q2_k_xl,337,1344,1408,0.237427,84.4,0.219480,84.4
01_python_small,ud-q2_k_xl,337,1408,1472,0.030228,98.4,0.030141,98.4
01_python_small,ud-q2_k_xl,337,1472,1536,0.107898,84.4,0.097814,84.4
01_python_small,ud-q2_k_xl,337,1536,1600,0.256082,75.0,0.248821,75.0
01_python_small,ud-q2_k_xl,337,1600,1664,0.266973,78.1,0.252577,81.2
01_python_small,ud-q2_k_xl,337,1664,1728,0.251872,70.3,0.256711,71.9
01_python_small,ud-q2_k_xl,337,1728,1792,0.204968,84.4,0.194415,84.4
01_python_small,ud-q2_k_xl,337,1792,1856,0.175068,90.6,0.151657,90.6
01_python_small,ud-q2_k_xl,337,1856,1920,0.170951,87.5,0.163954,87.5
01_python_small,ud-q2_k_xl,337,1920,1984,0.199495,90.6,0.195380,89.1
01_python_small,ud-q2_k_xl,337,1984,2048,0.105536,90.6,0.103234,90.6
02_rust_small,ud-q2_k_xl,540,0,64,0.106556,92.2,0.129908,90.6
02_rust_small,ud-q2_k_xl,540,64,128,0.155006,89.1,0.123156,87.5
02_rust_small,ud-q2_k_xl,540,128,192,0.361313,76.6,0.254994,71.9
02_rust_small,ud-q2_k_xl,540,192,256,0.059033,95.3,0.054547,93.8
02_rust_small,ud-q2_k_xl,540,256,320,0.129646,90.6,0.098790,92.2
02_rust_small,ud-q2_k_xl,540,320,384,0.187300,87.5,0.174088,85.9
02_rust_small,ud-q2_k_xl,540,384,448,0.247549,84.4,0.148190,89.1
02_rust_small,ud-q2_k_xl,540,448,512,0.233364,81.2,0.239361,76.6
02_rust_small,ud-q2_k_xl,540,512,576,0.320640,85.9,0.298559,84.4
02_rust_small,ud-q2_k_xl,540,576,640,0.064710,98.4,0.064071,96.9
02_rust_small,ud-q2_k_xl,540,640,704,0.110401,92.2,0.093193,95.3
02_rust_small,ud-q2_k_xl,540,704,768,0.068011,93.8,0.045758,95.3
02_rust_small,ud-q2_k_xl,540,768,832,0.018538,100.0,0.015190,100.0
02_rust_small,ud-q2_k_xl,540,832,896,0.074040,93.8,0.061031,92.2
02_rust_small,ud-q2_k_xl,540,896,960,0.060605,95.3,0.054251,96.9
02_rust_small,ud-q2_k_xl,540,960,1024,0.384153,81.2,0.371516,81.2
02_rust_small,ud-q2_k_xl,540,1024,1088,0.159640,90.6,0.172085,85.9
02_rust_small,ud-q2_k_xl,540,1088,1152,0.066063,96.9,0.062615,96.9
02_rust_small,ud-q2_k_xl,540,1152,1216,0.078408,95.3,0.062432,93.8
02_rust_small,ud-q2_k_xl,540,1216,1280,0.050451,90.6,0.066183,90.6
02_rust_small,ud-q2_k_xl,540,1280,1344,0.198375,89.1,0.183300,96.9
02_rust_small,ud-q2_k_xl,540,1344,1408,0.013409,100.0,0.006427,100.0
02_rust_small,ud-q2_k_xl,540,1408,1472,0.153455,89.1,0.118847,92.2
02_rust_small,ud-q2_k_xl,540,1472,1536,0.130759,92.2,0.117806,92.2
02_rust_small,ud-q2_k_xl,540,1536,1600,0.161057,92.2,0.137288,90.6
02_rust_small,ud-q2_k_xl,540,1600,1664,0.023454,98.4,0.022704,98.4
02_rust_small,ud-q2_k_xl,540,1664,1728,0.149324,84.4,0.137701,87.5
02_rust_small,ud-q2_k_xl,540,1728,1792,0.289670,82.8,0.249161,85.9
02_rust_small,ud-q2_k_xl,540,1792,1856,0.095654,92.2,0.079160,93.8
02_rust_small,ud-q2_k_xl,540,1856,1869,0.518155,76.9,0.487030,76.9
03_go_small,ud-q2_k_xl,396,0,64,0.173297,90.6,0.106806,95.3
03_go_small,ud-q2_k_xl,396,64,128,0.108328,92.2,0.102744,93.8
03_go_small,ud-q2_k_xl,396,128,192,0.198933,87.5,0.135582,90.6
03_go_small,ud-q2_k_xl,396,192,256,0.157675,93.8,0.148553,93.8
03_go_small,ud-q2_k_xl,396,256,320,0.278628,82.8,0.290469,84.4
03_go_small,ud-q2_k_xl,396,320,384,0.278647,84.4,0.274569,82.8
03_go_small,ud-q2_k_xl,396,384,448,0.233808,87.5,0.196127,87.5
03_go_small,ud-q2_k_xl,396,448,512,0.276206,82.8,0.203785,85.9
03_go_small,ud-q2_k_xl,396,512,576,0.303312,81.2,0.203879,82.8
03_go_small,ud-q2_k_xl,396,576,640,0.122261,89.1,0.094241,90.6
03_go_small,ud-q2_k_xl,396,640,704,0.147317,90.6,0.147382,90.6
03_go_small,ud-q2_k_xl,396,704,768,0.200693,75.0,0.193191,75.0
03_go_small,ud-q2_k_xl,396,768,832,0.254584,81.2,0.245280,81.2
03_go_small,ud-q2_k_xl,396,832,896,0.292161,75.0,0.258412,76.6
03_go_small,ud-q2_k_xl,396,896,960,0.202846,82.8,0.178389,84.4
03_go_small,ud-q2_k_xl,396,960,1024,0.222030,82.8,0.217048,79.7
03_go_small,ud-q2_k_xl,396,1024,1088,0.135030,87.5,0.127457,90.6
03_go_small,ud-q2_k_xl,396,1088,1152,0.174111,90.6,0.157836,92.2
03_go_small,ud-q2_k_xl,396,1152,1216,0.077755,93.8,0.085998,93.8
03_go_small,ud-q2_k_xl,396,1216,1280,0.170666,84.4,0.156342,84.4
03_go_small,ud-q2_k_xl,396,1280,1344,0.172468,87.5,0.176662,87.5
03_go_small,ud-q2_k_xl,396,1344,1408,0.213023,84.4,0.199610,84.4
03_go_small,ud-q2_k_xl,396,1408,1472,0.114463,96.9,0.117933,96.9
03_go_small,ud-q2_k_xl,396,1472,1536,0.096319,92.2,0.094277,92.2
03_go_small,ud-q2_k_xl,396,1536,1600,0.208722,81.2,0.203648,79.7
03_go_small,ud-q2_k_xl,396,1600,1664,0.287060,82.8,0.297451,82.8
03_go_small,ud-q2_k_xl,396,1664,1728,0.312641,79.7,0.292206,78.1
03_go_small,ud-q2_k_xl,396,1728,1792,0.180360,79.7,0.171902,78.1
03_go_small,ud-q2_k_xl,396,1792,1856,0.140559,89.1,0.125624,93.8
03_go_small,ud-q2_k_xl,396,1856,1920,0.257669,84.4,0.237625,85.9
03_go_small,ud-q2_k_xl,396,1920,1984,0.061434,92.2,0.070541,92.2
03_go_small,ud-q2_k_xl,396,1984,2048,0.108746,90.6,0.107930,90.6
04_cpp_small,ud-q2_k_xl,823,0,64,0.077937,89.1,0.077664,90.6
04_cpp_small,ud-q2_k_xl,823,64,128,0.247159,87.5,0.118438,89.1
04_cpp_small,ud-q2_k_xl,823,128,192,0.104634,96.9,0.088946,95.3
04_cpp_small,ud-q2_k_xl,823,192,256,0.234001,89.1,0.164229,90.6
04_cpp_small,ud-q2_k_xl,823,256,320,0.232755,89.1,0.178966,87.5
04_cpp_small,ud-q2_k_xl,823,320,384,0.226917,85.9,0.191545,84.4
04_cpp_small,ud-q2_k_xl,823,384,448,0.188394,85.9,0.178461,89.1
04_cpp_small,ud-q2_k_xl,823,448,512,0.195193,92.2,0.189225,89.1
04_cpp_small,ud-q2_k_xl,823,512,576,0.239095,84.4,0.236327,85.9
04_cpp_small,ud-q2_k_xl,823,576,640,0.396906,84.4,0.370778,84.4
04_cpp_small,ud-q2_k_xl,823,640,704,0.271525,84.4,0.249281,84.4
04_cpp_small,ud-q2_k_xl,823,704,768,0.271981,85.9,0.207534,84.4
04_cpp_small,ud-q2_k_xl,823,768,832,0.256505,87.5,0.245812,87.5
04_cpp_small,ud-q2_k_xl,823,832,896,0.198757,87.5,0.124037,90.6
04_cpp_small,ud-q2_k_xl,823,896,960,0.206698,85.9,0.209329,85.9
04_cpp_small,ud-q2_k_xl,823,960,1024,0.195702,89.1,0.193038,89.1
04_cpp_small,ud-q2_k_xl,823,1024,1088,0.230282,78.1,0.246397,76.6
04_cpp_small,ud-q2_k_xl,823,1088,1152,0.246470,85.9,0.213337,84.4
04_cpp_small,ud-q2_k_xl,823,1152,1216,0.119136,87.5,0.137467,85.9
04_cpp_small,ud-q2_k_xl,823,1216,1280,0.108020,87.5,0.092938,87.5
04_cpp_small,ud-q2_k_xl,823,1280,1344,0.336580,85.9,0.280177,87.5
04_cpp_small,ud-q2_k_xl,823,1344,1408,0.113176,93.8,0.106092,93.8
04_cpp_small,ud-q2_k_xl,823,1408,1472,0.186672,89.1,0.134371,89.1
