prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
01_python_small,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,337,2048,0.189940,0.833969,1.772681,85.7,0.169781,0.760061,1.637687,86.9
02_rust_small,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,540,1802,0.162615,0.826822,1.870685,89.8,0.140954,0.727189,1.760814,89.8
03_go_small,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,396,2048,0.181158,0.858880,1.800368,87.8,0.168267,0.822244,1.663267,87.8
04_cpp_small,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,823,2048,0.185191,0.924774,2.031856,88.1,0.156228,0.753541,1.610073,89.2
05_js_small,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,555,2048,0.216084,0.937505,1.951985,83.8,0.183482,0.791957,1.463232,84.6
06_python2_small,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,582,2048,0.178479,0.853371,1.850614,87.3,0.153626,0.763304,1.652146,87.9
07_c_small,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,751,2048,0.149668,0.764944,1.529527,88.7,0.125610,0.640623,1.192907,89.3
08_java_small,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,840,1929,0.207819,1.066992,2.061339,85.5,0.187774,0.955151,1.797608,86.4
09_python_medium,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,2474,2048,0.245648,1.052224,1.877924,82.1,0.209493,0.911043,1.661788,83.0
10_go_medium,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,2135,2048,0.281923,1.091863,1.881784,78.8,0.227804,0.900920,1.539993,81.0
11_typescript_medium,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,2435,2048,0.258854,1.048895,1.891375,81.2,0.209160,0.822411,1.557730,82.9
12_rust_medium,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,2183,2048,0.285302,1.189957,2.212713,81.2,0.228006,0.926880,1.790737,82.7
13_python_large,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,8959,2048,0.271783,1.075968,1.948653,80.5,0.221876,0.857012,1.683514,82.5
14_go_large,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,8840,2048,0.229162,1.000112,1.851708,83.8,0.179786,0.805229,1.484168,85.1
15_cpp_medium,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,3958,2048,0.231677,0.978000,1.921893,83.6,0.193087,0.805642,1.769657,85.3
16_java_medium,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,2400,2048,0.275396,1.084967,1.912606,80.5,0.224912,0.861160,1.654860,82.3
17_rust_large,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,9803,2048,0.252222,1.086282,2.265021,82.8,0.194343,0.876394,1.695086,85.4
18_typescript_large,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,10613,2048,0.279008,1.207150,2.238458,81.8,0.212363,0.883676,1.763510,83.6
19_cpp_large,gemma4-e4b-ud-q8_k_xl,ud-q2_k_xl,8658661760,3742790016,10737,2048,0.262256,1.007276,2.030465,80.0,0.204845,0.796236,1.497631,81.3
01_python_small,gemma4-e4b-ud-q8_k_xl,ud-q3_k_xl,8658661760,4563499392,337,2048,0.051301,0.259480,0.531311,93.1,0.048131,0.238672,0.472103,93.6
02_rust_small,gemma4-e4b-ud-q8_k_xl,ud-q3_k_xl,8658661760,4563499392,540,1802,0.047552,0.225906,0.644950,94.2,0.038831,0.178766,0.494254,94.6
03_go_small,gemma4-e4b-ud-q8_k_xl,ud-q3_k_xl,8658661760,4563499392,396,2048,0.060607,0.292852,0.700284,92.3,0.049215,0.235472,0.591211,92.9
