prompt,target,n_prompt,window_start,window_end,kl_target,top1_target,kl_handoff,top1_handoff
01_python_small,ud-iq2_xxs,294,0,64,1.164938,75.0,0.663875,75.0
01_python_small,ud-iq2_xxs,294,64,128,0.525052,81.2,0.374162,85.9
01_python_small,ud-iq2_xxs,294,128,192,0.424468,92.2,0.378267,89.1
01_python_small,ud-iq2_xxs,294,192,256,0.671044,71.9,0.620460,73.4
01_python_small,ud-iq2_xxs,294,256,320,0.825768,75.0,0.645536,79.7
01_python_small,ud-iq2_xxs,294,320,384,0.463693,76.6,0.372681,81.2
01_python_small,ud-iq2_xxs,294,384,448,1.044797,59.4,0.913475,60.9
01_python_small,ud-iq2_xxs,294,448,512,1.014714,65.6,0.855952,70.3
01_python_small,ud-iq2_xxs,294,512,576,0.901499,67.2,0.771332,65.6
01_python_small,ud-iq2_xxs,294,576,640,1.121282,60.9,1.073946,60.9
01_python_small,ud-iq2_xxs,294,640,704,1.392179,57.8,1.360013,56.2
01_python_small,ud-iq2_xxs,294,704,768,0.886635,70.3,0.726020,70.3
01_python_small,ud-iq2_xxs,294,768,832,0.991423,71.9,0.939362,68.8
01_python_small,ud-iq2_xxs,294,832,896,0.497546,81.2,0.460488,79.7
01_python_small,ud-iq2_xxs,294,896,960,0.696912,82.8,0.669753,81.2
01_python_small,ud-iq2_xxs,294,960,1024,1.019180,60.9,0.975342,59.4
01_python_small,ud-iq2_xxs,294,1024,1088,1.415125,51.6,1.272940,53.1
01_python_small,ud-iq2_xxs,294,1088,1152,0.722707,81.2,0.715244,79.7
02_rust_small,ud-iq2_xxs,508,0,64,0.958287,65.6,0.750020,73.4
02_rust_small,ud-iq2_xxs,508,64,128,0.693394,70.3,0.681912,65.6
02_rust_small,ud-iq2_xxs,508,128,192,0.564923,81.2,0.426216,82.8
02_rust_small,ud-iq2_xxs,508,192,256,0.736179,71.9,0.472391,73.4
02_rust_small,ud-iq2_xxs,508,256,320,1.279894,54.7,0.703246,67.2
02_rust_small,ud-iq2_xxs,508,320,384,0.794254,75.0,0.678050,73.4
02_rust_small,ud-iq2_xxs,508,384,448,0.936452,75.0,0.725999,73.4
02_rust_small,ud-iq2_xxs,508,448,512,0.651813,64.1,0.445649,76.6
02_rust_small,ud-iq2_xxs,508,512,576,0.858085,73.4,0.731936,75.0
02_rust_small,ud-iq2_xxs,508,576,640,0.272354,90.6,0.240860,93.8
02_rust_small,ud-iq2_xxs,508,640,704,0.352547,82.8,0.363932,85.9
02_rust_small,ud-iq2_xxs,508,704,768,0.220258,95.3,0.208289,93.8
02_rust_small,ud-iq2_xxs,508,768,832,0.119645,95.3,0.097174,95.3
02_rust_small,ud-iq2_xxs,508,832,896,0.395496,89.1,0.297579,85.9
02_rust_small,ud-iq2_xxs,508,896,960,0.254511,89.1,0.227367,90.6
02_rust_small,ud-iq2_xxs,508,960,1024,0.364625,84.4,0.259116,87.5
02_rust_small,ud-iq2_xxs,508,1024,1088,0.479335,82.8,0.400241,82.8
02_rust_small,ud-iq2_xxs,508,1088,1152,0.355860,90.6,0.276902,89.1
02_rust_small,ud-iq2_xxs,508,1152,1216,0.533165,81.2,0.376499,89.1
02_rust_small,ud-iq2_xxs,508,1216,1280,0.903857,65.6,0.839177,76.6
02_rust_small,ud-iq2_xxs,508,1280,1312,0.822759,71.9,0.828172,68.8
03_go_small,ud-iq2_xxs,331,0,64,0.411797,81.2,0.402122,79.7
03_go_small,ud-iq2_xxs,331,64,128,0.699676,71.9,0.589543,73.4
03_go_small,ud-iq2_xxs,331,128,192,0.698762,57.8,0.624421,64.1
03_go_small,ud-iq2_xxs,331,192,256,0.642718,71.9,0.633149,73.4
03_go_small,ud-iq2_xxs,331,256,320,0.609935,70.3,0.503925,75.0
03_go_small,ud-iq2_xxs,331,320,384,0.260156,84.4,0.221928,85.9
03_go_small,ud-iq2_xxs,331,384,448,0.386795,84.4,0.425671,85.9
