prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
01_python_small,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,294,1152,0.876609,3.770771,5.838608,71.3,0.766615,3.437397,5.010878,71.9
02_rust_small,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,508,1312,0.592015,2.830243,5.142473,78.7,0.468129,2.334657,4.050712,81.3
03_go_small,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,331,2048,0.359486,1.957646,3.944971,85.7,0.324110,1.815777,3.783160,86.1
04_cpp_small,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,753,1327,0.955746,4.169577,6.848767,70.2,0.812849,3.581335,5.845700,71.7
05_js_small,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,500,2048,0.620322,2.759488,4.891171,75.4,0.526370,2.350719,4.000757,76.3
06_python2_small,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,508,2048,0.783107,3.711516,6.334015,75.6,0.619333,2.795178,5.368677,76.6
07_c_small,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,679,2048,0.595371,2.933177,4.778786,79.0,0.486347,2.404980,4.143547,80.7
08_java_small,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,756,2048,0.778594,3.528348,5.962411,73.1,0.668317,2.998599,5.305081,74.5
09_python_medium,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,2125,2048,0.338415,1.932672,4.866032,87.7,0.233033,1.370424,3.212044,90.2
10_go_medium,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,1864,2048,0.614418,3.210944,6.054529,79.9,0.497133,2.701603,5.204887,81.7
11_typescript_medium,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,2233,2048,0.722537,3.398544,6.338202,75.5,0.590053,2.699688,5.270716,78.5
12_rust_medium,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,2017,2048,0.427104,2.546800,4.933617,84.5,0.336050,1.869268,4.238392,85.4
13_python_large,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,7811,2048,0.541931,3.060616,7.435784,84.1,0.450972,2.509470,5.509268,85.4
14_go_large,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,7904,2048,0.351914,2.312419,4.640974,87.5,0.268093,1.722337,3.665853,88.7
15_cpp_medium,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,3630,2048,0.734385,3.414739,5.685344,75.6,0.586371,2.933314,5.146105,78.3
16_java_medium,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,2192,2048,0.726254,3.625032,6.042556,78.0,0.559610,2.900411,5.012136,79.5
17_rust_large,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,8811,2048,0.617179,3.469820,7.067069,82.8,0.457508,2.564188,5.727935,85.7
18_typescript_large,qwen3.5-2b-ud-q8_k_xl,ud-iq2_xxs,2834940160,768270592,9740,2048,0.222450,1.598116,4.346524,93.2,0.169970,1.180700,3.420740,93.9
01_python_small,qwen3.5-2b-ud-q8_k_xl,ud-q2_k_xl,2834940160,966533376,294,1152,0.295446,1.347638,2.782862,81.5,0.239871,1.111338,2.100182,83.3
02_rust_small,qwen3.5-2b-ud-q8_k_xl,ud-q2_k_xl,2834940160,966533376,508,1312,0.190469,1.123147,2.118371,87.1,0.146658,0.750315,1.710395,88.7
