prompt,target,n_prompt,window_start,window_end,kl_target,top1_target,kl_handoff,top1_handoff
01_python_small,ud-q2_k_xl,294,0,64,0.038375,95.3,0.014219,95.3
01_python_small,ud-q2_k_xl,294,64,128,0.072433,90.6,0.051434,92.2
01_python_small,ud-q2_k_xl,294,128,192,0.017072,98.4,0.013786,96.9
01_python_small,ud-q2_k_xl,294,192,256,0.022912,93.8,0.022856,96.9
01_python_small,ud-q2_k_xl,294,256,320,0.005638,98.4,0.002026,100.0
01_python_small,ud-q2_k_xl,294,320,384,0.035171,90.6,0.034248,95.3
01_python_small,ud-q2_k_xl,294,384,448,0.058519,90.6,0.049693,90.6
01_python_small,ud-q2_k_xl,294,448,512,0.030729,96.9,0.030998,95.3
01_python_small,ud-q2_k_xl,294,512,576,0.063677,95.3,0.058260,93.8
01_python_small,ud-q2_k_xl,294,576,640,0.071994,92.2,0.063078,93.8
01_python_small,ud-q2_k_xl,294,640,704,0.056339,89.1,0.052059,89.1
01_python_small,ud-q2_k_xl,294,704,768,0.047272,95.3,0.043485,96.9
01_python_small,ud-q2_k_xl,294,768,832,0.027634,95.3,0.024388,95.3
01_python_small,ud-q2_k_xl,294,832,896,0.062663,89.1,0.056528,90.6
01_python_small,ud-q2_k_xl,294,896,960,0.083063,100.0,0.084217,98.4
01_python_small,ud-q2_k_xl,294,960,1024,0.081558,89.1,0.077116,90.6
01_python_small,ud-q2_k_xl,294,1024,1088,0.011435,96.9,0.009537,96.9
01_python_small,ud-q2_k_xl,294,1088,1152,0.023141,98.4,0.019466,98.4
01_python_small,ud-q2_k_xl,294,1152,1216,0.097988,96.9,0.065100,95.3
01_python_small,ud-q2_k_xl,294,1216,1280,0.000773,100.0,0.000637,100.0
01_python_small,ud-q2_k_xl,294,1280,1344,0.000961,100.0,0.002143,100.0
01_python_small,ud-q2_k_xl,294,1344,1408,0.031055,98.4,0.021478,98.4
01_python_small,ud-q2_k_xl,294,1408,1422,0.066374,85.7,0.057545,92.9
02_rust_small,ud-q2_k_xl,508,0,64,0.071466,89.1,0.025082,96.9
02_rust_small,ud-q2_k_xl,508,64,128,0.053660,95.3,0.055364,90.6
02_rust_small,ud-q2_k_xl,508,128,192,0.031695,93.8,0.027483,93.8
02_rust_small,ud-q2_k_xl,508,192,256,0.038211,95.3,0.026612,95.3
02_rust_small,ud-q2_k_xl,508,256,320,0.019493,98.4,0.019646,96.9
02_rust_small,ud-q2_k_xl,508,320,384,0.015348,98.4,0.012460,98.4
02_rust_small,ud-q2_k_xl,508,384,448,0.010835,96.9,0.009273,96.9
02_rust_small,ud-q2_k_xl,508,448,512,0.024204,95.3,0.023636,95.3
02_rust_small,ud-q2_k_xl,508,512,576,0.017214,95.3,0.014409,95.3
02_rust_small,ud-q2_k_xl,508,576,640,0.049602,90.6,0.026920,93.8
02_rust_small,ud-q2_k_xl,508,640,704,0.127438,90.6,0.023443,96.9
02_rust_small,ud-q2_k_xl,508,704,768,0.035729,92.2,0.034083,96.9
02_rust_small,ud-q2_k_xl,508,768,832,0.045055,93.8,0.043817,92.2
