prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
01_python_bug,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q2_k_xl,48688560768,12156754560,292,2048,0.037939,0.226485,0.514717,95.3,0.036731,0.213169,0.459105,95.2
02_rust_explain,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q2_k_xl,48688560768,12156754560,506,1418,0.056258,0.343482,0.971882,94.8,0.048007,0.270147,0.857938,95.5
03_go_bug,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q2_k_xl,48688560768,12156754560,329,1724,0.042956,0.229887,0.613579,94.9,0.038175,0.209449,0.534257,95.1
04_cpp_explain,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q2_k_xl,48688560768,12156754560,751,1746,0.049580,0.281544,0.576719,94.7,0.039841,0.230085,0.548101,94.8
05_js_bug,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q2_k_xl,48688560768,12156754560,498,2048,0.056015,0.302385,0.650269,92.9,0.048421,0.265451,0.534857,93.9
06_python_explain,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q2_k_xl,48688560768,12156754560,506,1528,0.057363,0.354743,0.820389,94.6,0.051968,0.312120,0.810069,94.6
07_c_bug,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q2_k_xl,48688560768,12156754560,677,2048,0.074242,0.399626,0.875057,92.0,0.066972,0.370490,0.734555,92.1
08_java_explain,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q2_k_xl,48688560768,12156754560,754,1361,0.039040,0.212540,0.571734,95.6,0.034245,0.178005,0.464844,96.1
09_python_large,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q2_k_xl,48688560768,12156754560,2123,2048,0.084450,0.410103,0.892009,90.3,0.068533,0.337448,0.633193,91.5
10_go_large,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q2_k_xl,48688560768,12156754560,1862,2048,0.081813,0.397838,0.803876,89.9,0.070870,0.346048,0.659850,90.4
11_typescript_large,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q2_k_xl,48688560768,12156754560,2231,2048,0.083842,0.435407,0.925002,90.8,0.073499,0.384621,0.788969,91.4
12_rust_large,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q2_k_xl,48688560768,12156754560,2015,2048,0.096566,0.491859,0.965455,89.5,0.083304,0.429133,0.872225,90.6
13_python_xlarge,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q2_k_xl,48688560768,12156754560,7809,2048,0.095566,0.508556,1.129807,90.8,0.086996,0.459434,1.074870,91.9
14_go_xlarge,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q2_k_xl,48688560768,12156754560,7902,2048,0.082246,0.427133,0.856004,91.7,0.072293,0.377246,0.725778,92.2
01_python_bug,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q3_k_xl,48688560768,16601176704,292,2048,0.013490,0.072110,0.168903,97.4,0.012838,0.068282,0.168866,97.4
02_rust_explain,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q3_k_xl,48688560768,16601176704,506,1418,0.014660,0.085638,0.239750,97.5,0.012667,0.078236,0.215747,97.7
03_go_bug,qwen3.5-35b-a3b-ud-q8_k_xl,ud-q3_k_xl,48688560768,16601176704,329,1724,0.014871,0.084151,0.194306,97.2,0.012175,0.073739,0.172935,97.2
