prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,top1_target,kl_handoff,top1_handoff
01_python_bug,qwen3.5-397b-ud-q8_k_xl,ud-iq2_m,427726568384,123053144288,292,512,0.085259,95.3,0.086996,95.1
02_rust_explain,qwen3.5-397b-ud-q8_k_xl,ud-iq2_m,427726568384,123053144288,506,512,0.126390,95.9,0.130005,95.5
03_go_bug,qwen3.5-397b-ud-q8_k_xl,ud-iq2_m,427726568384,123053144288,329,512,0.156820,92.6,0.157859,92.6
04_cpp_explain,qwen3.5-397b-ud-q8_k_xl,ud-iq2_m,427726568384,123053144288,751,512,0.151041,94.1,0.131697,94.7
05_js_bug,qwen3.5-397b-ud-q8_k_xl,ud-iq2_m,427726568384,123053144288,498,512,0.219672,91.2,0.192996,90.2
06_python_explain,qwen3.5-397b-ud-q8_k_xl,ud-iq2_m,427726568384,123053144288,506,512,0.109966,95.1,0.091090,95.3
07_c_bug,qwen3.5-397b-ud-q8_k_xl,ud-iq2_m,427726568384,123053144288,677,512,0.082733,95.9,0.073616,96.1
08_java_explain,qwen3.5-397b-ud-q8_k_xl,ud-iq2_m,427726568384,123053144288,754,512,0.108759,95.9,0.087559,96.1
09_python_large,qwen3.5-397b-ud-q8_k_xl,ud-iq2_m,427726568384,123053144288,2123,512,0.104827,94.9,0.111612,94.3
10_go_large,qwen3.5-397b-ud-q8_k_xl,ud-iq2_m,427726568384,123053144288,1862,512,0.163687,93.0,0.121487,93.9
11_typescript_large,qwen3.5-397b-ud-q8_k_xl,ud-iq2_m,427726568384,123053144288,2231,512,0.214721,93.4,0.174240,93.6
12_rust_large,qwen3.5-397b-ud-q8_k_xl,ud-iq2_m,427726568384,123053144288,2015,512,0.156264,95.3,0.129119,95.1
13_python_xlarge,qwen3.5-397b-ud-q8_k_xl,ud-iq2_m,427726568384,123053144288,7809,512,0.189880,93.6,0.208518,94.5
14_go_xlarge,qwen3.5-397b-ud-q8_k_xl,ud-iq2_m,427726568384,123053144288,7902,512,0.169303,94.5,0.160174,94.3
