prompt,path,temp,kl
1,knowledge/01.txt,0.5100,0.025808
1,knowledge/01.txt,0.5200,0.024605
1,knowledge/01.txt,0.5300,0.023541
1,knowledge/01.txt,0.5400,0.022608
1,knowledge/01.txt,0.5500,0.021800
1,knowledge/01.txt,0.5600,0.021111
1,knowledge/01.txt,0.5700,0.020535
1,knowledge/01.txt,0.5800,0.020066
1,knowledge/01.txt,0.5900,0.019701
1,knowledge/01.txt,0.6000,0.019434
1,knowledge/01.txt,0.6100,0.019262
1,knowledge/01.txt,0.6200,0.019179
1,knowledge/01.txt,0.6300,0.019184
1,knowledge/01.txt,0.6400,0.019271
1,knowledge/01.txt,0.6500,0.019438
1,knowledge/01.txt,0.6600,0.019683
1,knowledge/01.txt,0.6700,0.020001
1,knowledge/01.txt,0.6800,0.020391
1,knowledge/01.txt,0.6900,0.020851
1,knowledge/01.txt,0.7000,0.021377
1,knowledge/01.txt,0.7100,0.021969
1,knowledge/01.txt,0.7200,0.022623
1,knowledge/01.txt,0.7300,0.023339
1,knowledge/01.txt,0.7400,0.024113
1,knowledge/01.txt,0.7500,0.024946
1,knowledge/01.txt,0.7600,0.025836
1,knowledge/01.txt,0.7700,0.026780
1,knowledge/01.txt,0.7800,0.027778
1,knowledge/01.txt,0.7900,0.028829
1,knowledge/01.txt,0.8000,0.029931
1,knowledge/01.txt,0.8100,0.031084
1,knowledge/01.txt,0.8200,0.032287
1,knowledge/01.txt,0.8300,0.033538
1,knowledge/01.txt,0.8400,0.034838
1,knowledge/01.txt,0.8500,0.036185
1,knowledge/01.txt,0.8600,0.037579
1,knowledge/01.txt,0.8700,0.039019
1,knowledge/01.txt,0.8800,0.040505
1,knowledge/01.txt,0.8900,0.042037
1,knowledge/01.txt,0.9000,0.043613
2,knowledge/02.txt,0.5100,0.031333
2,knowledge/02.txt,0.5200,0.029849
2,knowledge/02.txt,0.5300,0.028520
2,knowledge/02.txt,0.5400,0.027338
2,knowledge/02.txt,0.5500,0.026294
2,knowledge/02.txt,0.5600,0.025383
2,knowledge/02.txt,0.5700,0.024598
2,knowledge/02.txt,0.5800,0.023932
2,knowledge/02.txt,0.5900,0.023381
2,knowledge/02.txt,0.6000,0.022939
2,knowledge/02.txt,0.6100,0.022601
2,knowledge/02.txt,0.6200,0.022362
2,knowledge/02.txt,0.6300,0.022220
2,knowledge/02.txt,0.6400,0.022168
2,knowledge/02.txt,0.6500,0.022205
2,knowledge/02.txt,0.6600,0.022326
2,knowledge/02.txt,0.6700,0.022529
2,knowledge/02.txt,0.6800,0.022809
2,knowledge/02.txt,0.6900,0.023165
2,knowledge/02.txt,0.7000,0.023594
2,knowledge/02.txt,0.7100,0.024093
2,knowledge/02.txt,0.7200,0.024660
2,knowledge/02.txt,0.7300,0.025293
2,knowledge/02.txt,0.7400,0.025989
2,knowledge/02.txt,0.7500,0.026748
2,knowledge/02.txt,0.7600,0.027566
2,knowledge/02.txt,0.7700,0.028443
2,knowledge/02.txt,0.7800,0.029376
2,knowledge/02.txt,0.7900,0.030365
2,knowledge/02.txt,0.8000,0.031407
2,knowledge/02.txt,0.8100,0.032503
2,knowledge/02.txt,0.8200,0.033650
2,knowledge/02.txt,0.8300,0.034847
2,knowledge/02.txt,0.8400,0.036094
2,knowledge/02.txt,0.8500,0.037390
2,knowledge/02.txt,0.8600,0.038733
2,knowledge/02.txt,0.8700,0.040123
2,knowledge/02.txt,0.8800,0.041559
2,knowledge/02.txt,0.8900,0.043040
2,knowledge/02.txt,0.9000,0.044567
3,knowledge/03.txt,0.5100,0.026025
3,knowledge/03.txt,0.5200,0.024890
3,knowledge/03.txt,0.5300,0.023884
3,knowledge/03.txt,0.5400,0.023000
3,knowledge/03.txt,0.5500,0.022231
3,knowledge/03.txt,0.5600,0.021572
3,knowledge/03.txt,0.5700,0.021018
3,knowledge/03.txt,0.5800,0.020563
3,knowledge/03.txt,0.5900,0.020202
3,knowledge/03.txt,0.6000,0.019933
3,knowledge/03.txt,0.6100,0.019750
3,knowledge/03.txt,0.6200,0.019649
3,knowledge/03.txt,0.6300,0.019628
3,knowledge/03.txt,0.6400,0.019683
3,knowledge/03.txt,0.6500,0.019810
3,knowledge/03.txt,0.6600,0.020008
3,knowledge/03.txt,0.6700,0.020273
3,knowledge/03.txt,0.6800,0.020603
3,knowledge/03.txt,0.6900,0.020995
3,knowledge/03.txt,0.7000,0.021448
3,knowledge/03.txt,0.7100,0.021959
3,knowledge/03.txt,0.7200,0.022527
3,knowledge/03.txt,0.7300,0.023148
3,knowledge/03.txt,0.7400,0.023823
3,knowledge/03.txt,0.7500,0.024549
3,knowledge/03.txt,0.7600,0.025325
3,knowledge/03.txt,0.7700,0.026149
3,knowledge/03.txt,0.7800,0.027021
3,knowledge/03.txt,0.7900,0.027938
3,knowledge/03.txt,0.8000,0.028900
3,knowledge/03.txt,0.8100,0.029905
3,knowledge/03.txt,0.8200,0.030953
3,knowledge/03.txt,0.8300,0.032043
3,knowledge/03.txt,0.8400,0.033174
3,knowledge/03.txt,0.8500,0.034345
3,knowledge/03.txt,0.8600,0.035555
3,knowledge/03.txt,0.8700,0.036804
3,knowledge/03.txt,0.8800,0.038091
3,knowledge/03.txt,0.8900,0.039415
3,knowledge/03.txt,0.9000,0.040777
4,knowledge/04.txt,0.5100,0.022802
4,knowledge/04.txt,0.5200,0.021749
4,knowledge/04.txt,0.5300,0.020816
4,knowledge/04.txt,0.5400,0.019996
4,knowledge/04.txt,0.5500,0.019285
4,knowledge/04.txt,0.5600,0.018677
4,knowledge/04.txt,0.5700,0.018166
4,knowledge/04.txt,0.5800,0.017748
4,knowledge/04.txt,0.5900,0.017419
4,knowledge/04.txt,0.6000,0.017175
4,knowledge/04.txt,0.6100,0.017012
4,knowledge/04.txt,0.6200,0.016926
4,knowledge/04.txt,0.6300,0.016914
4,knowledge/04.txt,0.6400,0.016974
4,knowledge/04.txt,0.6500,0.017102
4,knowledge/04.txt,0.6600,0.017295
4,knowledge/04.txt,0.6700,0.017552
4,knowledge/04.txt,0.6800,0.017870
4,knowledge/04.txt,0.6900,0.018247
4,knowledge/04.txt,0.7000,0.018680
4,knowledge/04.txt,0.7100,0.019168
4,knowledge/04.txt,0.7200,0.019709
4,knowledge/04.txt,0.7300,0.020301
4,knowledge/04.txt,0.7400,0.020943
4,knowledge/04.txt,0.7500,0.021634
4,knowledge/04.txt,0.7600,0.022371
4,knowledge/04.txt,0.7700,0.023154
4,knowledge/04.txt,0.7800,0.023982
4,knowledge/04.txt,0.7900,0.024853
4,knowledge/04.txt,0.8000,0.025766
4,knowledge/04.txt,0.8100,0.026721
4,knowledge/04.txt,0.8200,0.027716
4,knowledge/04.txt,0.8300,0.028750
4,knowledge/04.txt,0.8400,0.029824
4,knowledge/04.txt,0.8500,0.030935
4,knowledge/04.txt,0.8600,0.032084
4,knowledge/04.txt,0.8700,0.033269
4,knowledge/04.txt,0.8800,0.034491
4,knowledge/04.txt,0.8900,0.035748
4,knowledge/04.txt,0.9000,0.037041
5,knowledge/05.txt,0.5100,0.030043
5,knowledge/05.txt,0.5200,0.028727
5,knowledge/05.txt,0.5300,0.027545
5,knowledge/05.txt,0.5400,0.026492
5,knowledge/05.txt,0.5500,0.025560
5,knowledge/05.txt,0.5600,0.024743
5,knowledge/05.txt,0.5700,0.024037
5,knowledge/05.txt,0.5800,0.023435
5,knowledge/05.txt,0.5900,0.022934
5,knowledge/05.txt,0.6000,0.022529
5,knowledge/05.txt,0.6100,0.022215
5,knowledge/05.txt,0.6200,0.021990
5,knowledge/05.txt,0.6300,0.021848
5,knowledge/05.txt,0.6400,0.021788
